Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,23,TOT,NBA,SG,36,10,425,62,150,.413,0,1,.000,62,149,.416,.413,15,27,.556,29,22,51,35,16,1,27,49,139
1990-91,23,GSW,NBA,SG,24,0,170,24,59,.407,0,0,0,24,59,.407,.407,8,15,.533,15,8,23,11,9,1,16,23,56
1990-91,23,WSB,NBA,SG,12,10,255,38,91,.418,0,1,.000,38,90,.422,.418,7,12,.583,14,14,28,24,7,0,11,26,83
1991-92,24,BOS,NBA,SG,1,0,6,1,5,.200,0,0,0,1,5,.200,.200,0,0,0,2,0,2,1,0,0,1,3,2
1992-93,25,WSB,NBA,SG,4,0,33,6,16,.375,0,1,.000,6,15,.400,.375,3,5,.600,1,2,3,3,1,1,1,0,15
1993-94,26,HOU,NBA,SG,6,0,55,10,20,.500,2,8,.250,8,12,.667,.550,3,8,.375,4,6,10,6,7,0,10,8,25
1994-95,27,Did Not Play(other pro leagueCBA)
1995-96,28,Did Not Play(other pro leagueSpain)
1996-97,29,Did Not Play(other pro leagueCBA)
1997-98,30,VAN,NBA,SF,6,0,41,6,19,.316,3,6,.500,3,13,.231,.395,2,2,1.000,2,10,12,1,4,0,2,0,17
1998-99,31,Did Not Play
1999-00,32,Did Not Play
2000-01,33,TOT,NBA,PG-SG,34,1,632,67,184,.364,44,116,.379,23,68,.338,.484,21,24,.875,23,64,87,36,28,2,25,46,199
2000-01,33,CLE,NBA,SG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000-01,33,ATL,NBA,PG,33,1,631,67,184,.364,44,116,.379,23,68,.338,.484,21,24,.875,23,64,87,36,28,2,24,46,199
2001-02,34,NYK,NBA,SG,2,0,10,1,4,.250,1,2,.500,0,2,.000,.375,0,0,0,0,2,2,0,0,0,0,1,3
