Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1946-47,25,TOT,BAA,0,58,0,0,259,879,.295,0,0,0,259,879,.295,.295,235,325,.723,0,0,0,84,0,0,0,176,753
1946-47,25,CLR,BAA,0,17,0,0,73,226,.323,0,0,0,73,226,.323,.323,63,88,.716,0,0,0,28,0,0,0,50,209
1946-47,25,TRH,BAA,0,41,0,0,186,653,.285,0,0,0,186,653,.285,.285,172,237,.726,0,0,0,56,0,0,0,126,544
1947-48,26,Did Not Play(other pro leagueAAPBL)
1948-49,27,TOT,BAA,0,52,0,0,172,509,.338,0,0,0,172,509,.338,.338,177,243,.728,0,0,0,104,0,0,0,170,521
1948-49,27,BLB,BAA,0,13,0,0,10,50,.200,0,0,0,10,50,.200,.200,25,36,.694,0,0,0,3,0,0,0,29,45
1948-49,27,FTW,BAA,0,20,0,0,59,176,.335,0,0,0,59,176,.335,.335,55,74,.743,0,0,0,27,0,0,0,66,173
1948-49,27,INJ,BAA,0,19,0,0,103,283,.364,0,0,0,103,283,.364,.364,97,133,.729,0,0,0,74,0,0,0,75,303
1949-50,28,PHW,NBA,0,64,0,0,172,434,.396,0,0,0,172,434,.396,.396,218,300,.727,0,0,0,99,0,0,0,169,562
1950-51,29,PHW,NBA,0,57,0,0,43,122,.352,0,0,0,43,122,.352,.352,53,86,.616,0,0,102,32,0,0,0,60,139
