Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,KEN,ABA,PG,72,0,2961,620,1473,.421,38,142,.268,582,1331,.437,.434,209,254,.823,0,0,333,256,0,0,163,143,1487
1968-69,24,KEN,ABA,PG,78,0,3326,713,1696,.420,199,552,.361,514,1144,.449,.479,308,380,.811,76,223,299,456,0,0,251,156,1933
1969-70,25,KEN,ABA,PG,82,0,3353,743,1864,.399,198,548,.361,545,1316,.414,.452,447,538,.831,83,227,310,447,0,0,274,235,2131
1970-71,26,KEN,ABA,PG,84,0,3221,566,1353,.418,103,280,.368,463,1073,.432,.456,320,376,.851,73,224,297,460,0,0,244,213,1555
1971-72,27,KEN,ABA,PG,83,0,3214,477,1078,.442,84,233,.361,393,845,.465,.481,281,336,.836,43,216,259,515,0,0,211,237,1319
1972-73,28,KEN,ABA,PG,80,0,3039,515,1143,.451,54,155,.348,461,988,.467,.474,262,334,.784,55,158,213,521,0,0,188,216,1346
1973-74,29,KEN,ABA,PG,84,0,2942,603,1296,.465,48,124,.387,555,1172,.474,.484,238,286,.832,46,155,201,473,84,18,230,152,1492
1974-75,30,KEN,ABA,PG,83,0,2879,598,1195,.500,38,96,.396,560,1099,.510,.516,161,199,.809,42,169,211,449,92,53,146,140,1395
1975-76,31,KEN,ABA,PG,82,0,2835,455,949,.479,32,87,.368,423,862,.491,.496,126,146,.863,35,124,159,467,60,46,148,141,1068
1976-77,32,SAS,NBA,PG,80,0,1634,233,507,.460,0,0,0,233,507,.460,.460,64,86,.744,22,54,76,234,49,15,0,93,530
1977-78,33,SAS,NBA,PG,82,0,2037,336,660,.509,0,0,0,336,660,.509,.509,76,101,.752,24,98,122,285,87,13,95,84,748
1978-79,34,SAS,NBA,PG,70,0,760,123,251,.490,0,0,0,123,251,.490,.490,29,39,.744,15,48,63,124,35,8,39,42,275
