Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,26,GSW,NBA,C,48,35,1410,237,508,.467,5,23,.217,232,485,.478,.471,154,192,.802,119,242,361,59,34,27,93,138,633
2001-02,27,TOT,NBA,C,39,0,495,60,164,.366,0,1,.000,60,163,.368,.366,66,80,.825,48,80,128,14,11,6,30,69,186
2001-02,27,GSW,NBA,C,17,0,169,22,65,.338,0,0,0,22,65,.338,.338,40,48,.833,17,26,43,7,5,3,12,25,84
2001-02,27,MIN,NBA,C,22,0,326,38,99,.384,0,1,.000,38,98,.388,.384,26,32,.813,31,54,85,7,6,3,18,44,102
2002-03,28,MIN,NBA,C,77,0,1041,153,349,.438,1,1,1.000,152,348,.437,.440,114,149,.765,86,139,225,37,24,30,59,137,421
2003-04,29,PHI,NBA,PF,22,13,598,71,171,.415,0,1,.000,71,170,.418,.415,64,81,.790,45,81,126,18,12,6,24,45,206
2004-05,30,PHI,NBA,C,81,23,1976,340,731,.465,0,2,.000,340,729,.466,.465,289,349,.828,184,222,406,81,32,18,131,171,969
2005-06,31,TOT,NBA,C,64,10,1027,174,369,.472,1,2,.500,173,367,.471,.473,66,82,.805,86,131,217,44,13,8,65,126,415
2005-06,31,NJN,NBA,C,37,0,433,66,148,.446,0,0,0,66,148,.446,.446,38,48,.792,30,59,89,22,5,6,28,70,170
2005-06,31,NOK,NBA,C,27,10,594,108,221,.489,1,2,.500,107,219,.489,.491,28,34,.824,56,72,128,22,8,2,37,56,245
2006-07,32,NOK,NBA,PF,56,25,1025,159,388,.410,0,1,.000,159,387,.411,.410,90,103,.874,62,130,192,58,21,7,65,89,408
