Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,23,PHI,NBA,C,36,2,182,29,64,.453,0,0,0,29,64,.453,.453,20,45,.444,34,42,76,7,3,3,36,42,78
1983-84,24,SAS,NBA,C,70,3,1037,157,253,.621,0,0,0,157,253,.621,.621,74,157,.471,137,180,317,31,14,12,89,138,388
1984-85,25,TOT,NBA,C,45,0,273,40,76,.526,0,0,0,40,76,.526,.526,32,62,.516,31,43,74,6,7,8,19,27,112
1984-85,25,SAS,NBA,C,12,0,63,12,18,.667,0,0,0,12,18,.667,.667,9,18,.500,7,10,17,0,2,1,6,5,33
1984-85,25,KCK,NBA,C,33,0,210,28,58,.483,0,0,0,28,58,.483,.483,23,44,.523,24,33,57,6,5,7,13,22,79
1985-86,26,Did Not Play(other pro leagueItaly)
1986-87,27,PHI,NBA,C,11,1,113,14,30,.467,0,0,0,14,30,.467,.467,7,19,.368,17,19,36,2,1,0,8,17,35
1987-88,28,PHI,NBA,C,42,18,581,52,133,.391,0,0,0,52,133,.391,.391,48,66,.727,66,91,157,18,4,12,26,67,152
1988-89,29,LAL,NBA,C,39,0,318,32,64,.500,0,0,0,32,64,.500,.500,49,78,.628,38,62,100,10,4,3,24,51,113
1989-90,30,LAL,NBA,C,33,1,190,38,86,.442,0,0,0,38,86,.442,.442,26,40,.650,22,41,63,3,2,1,21,31,102
1990-91,31,ORL,NBA,C,2,0,13,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,0,4,4,0,0,0,0,1,0
