Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,22,SFW,NBA,SF,78,0,1731,244,725,.337,0,0,0,244,725,.337,.337,157,220,.714,0,0,488,81,0,0,0,224,645
1965-66,23,SFW,NBA,SF,80,0,1467,225,528,.426,0,0,0,225,528,.426,.426,142,191,.743,0,0,488,55,0,0,0,197,592
1966-67,24,CHI,NBA,SF,79,0,1382,258,670,.385,0,0,0,258,670,.385,.385,210,272,.772,0,0,374,62,0,0,0,189,726
1967-68,25,CHI,NBA,SF,76,0,2100,374,940,.398,0,0,0,374,940,.398,.398,215,276,.779,0,0,430,130,0,0,0,219,963
1968-69,26,TOT,NBA,SF,81,0,1620,282,722,.391,0,0,0,282,722,.391,.391,169,214,.790,0,0,404,94,0,0,0,186,733
1968-69,26,PHO,NBA,SF,31,0,710,141,366,.385,0,0,0,141,366,.385,.385,85,110,.773,0,0,168,50,0,0,0,73,367
1968-69,26,DET,NBA,SF,50,0,910,141,356,.396,0,0,0,141,356,.396,.396,84,104,.808,0,0,236,44,0,0,0,113,366
1969-70,27,DET,NBA,SF,73,0,1421,233,500,.466,0,0,0,233,500,.466,.466,119,145,.821,0,0,336,83,0,0,0,159,585
1970-71,28,TOT,NBA,SF,86,0,2254,303,787,.385,0,0,0,303,787,.385,.385,204,261,.782,0,0,568,206,0,0,0,235,810
1970-71,28,CLE,NBA,SF,58,0,1839,254,654,.388,0,0,0,254,654,.388,.388,170,220,.773,0,0,463,176,0,0,0,169,678
1970-71,28,MIL,NBA,SF,28,0,415,49,133,.368,0,0,0,49,133,.368,.368,34,41,.829,0,0,105,30,0,0,0,66,132
1971-72,29,TOT,NBA,SF,27,0,246,28,71,.394,0,0,0,28,71,.394,.394,20,24,.833,0,0,73,22,0,0,0,33,76
1971-72,29,MIL,NBA,SF,10,0,99,9,28,.321,0,0,0,9,28,.321,.321,11,12,.917,0,0,34,12,0,0,0,18,29
1971-72,29,HOU,NBA,SF,17,0,147,19,43,.442,0,0,0,19,43,.442,.442,9,12,.750,0,0,39,10,0,0,0,15,47
