Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,23,DET,NBA,PF,72,9,1366,180,423,.426,38,112,.339,142,311,.457,.470,96,131,.733,117,218,335,71,25,39,66,167,494
2003-04,24,DET,NBA,PF,71,33,1580,251,542,.463,18,48,.375,233,494,.472,.480,162,209,.775,160,261,421,69,36,63,101,138,682
2004-05,25,UTA,NBA,C,82,25,2304,354,756,.468,17,63,.270,337,693,.486,.479,329,387,.850,194,422,616,166,32,68,141,227,1054
2005-06,26,UTA,NBA,PF,82,82,2945,519,1128,.460,80,234,.342,439,894,.491,.496,354,454,.780,211,535,746,194,40,73,163,285,1472
2006-07,27,UTA,NBA,C,80,80,2664,490,1061,.462,129,336,.384,361,725,.498,.523,296,387,.765,160,419,579,156,36,38,125,257,1405
2007-08,28,UTA,NBA,C,72,72,2390,374,841,.445,114,294,.388,260,547,.475,.512,185,230,.804,132,424,556,145,55,29,104,236,1047
2008-09,29,UTA,NBA,C,72,72,2409,431,888,.485,90,202,.446,341,686,.497,.536,273,334,.817,124,433,557,120,54,53,132,219,1225
2009-10,30,UTA,NBA,C,73,73,2149,355,775,.458,82,213,.385,273,562,.486,.511,196,239,.820,132,383,515,119,38,81,127,223,988
2010-11,31,UTA,NBA,C,13,0,168,22,62,.355,5,16,.313,17,46,.370,.395,15,20,.750,9,21,30,19,4,4,7,18,64
2011-12,32,NJN,NBA,C,17,14,454,52,139,.374,23,72,.319,29,67,.433,.457,3,5,.600,22,59,81,30,9,5,25,45,130
