Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,23,SAC,NBA,PG,18,0,139,16,44,.364,0,3,.000,16,41,.390,.364,8,12,.667,2,4,6,22,9,1,11,9,40
1986-87,24,WSB,NBA,PG,63,0,1303,160,393,.407,28,102,.275,132,291,.454,.443,105,124,.847,38,85,123,244,85,6,81,88,453
1987-88,25,DEN,NBA,PG,82,75,2778,416,927,.449,139,379,.367,277,548,.505,.524,166,199,.834,40,183,223,503,168,16,144,138,1137
1988-89,26,DEN,NBA,PG,77,77,2787,468,1082,.433,166,466,.356,302,616,.490,.509,322,393,.819,71,212,283,490,166,11,180,149,1424
1989-90,27,DEN,NBA,PG,79,74,2690,398,989,.402,158,432,.366,240,557,.431,.482,267,314,.850,49,176,225,495,121,3,141,133,1221
1990-91,28,DEN,NBA,PG,66,66,2346,560,1421,.394,167,564,.296,393,857,.459,.453,465,529,.879,58,198,256,693,147,6,240,162,1752
1991-92,29,WSB,NBA,PG,78,78,2795,485,1233,.393,125,386,.324,360,847,.425,.444,313,360,.869,58,252,310,594,145,9,212,162,1408
1992-93,30,WSB,NBA,PG,70,70,2499,365,831,.439,68,212,.321,297,619,.480,.480,237,277,.856,52,188,240,526,100,4,175,146,1035
1993-94,31,WSB,NBA,PG,70,67,2337,285,698,.408,55,191,.288,230,507,.454,.448,224,270,.830,37,146,183,480,96,6,167,140,849
1994-95,32,CHH,NBA,PG,29,0,443,67,148,.453,29,81,.358,38,67,.567,.551,25,30,.833,6,23,29,95,23,1,26,41,188
1995-96,33,CHH,NBA,PG,21,3,329,37,83,.446,14,41,.341,23,42,.548,.530,26,35,.743,5,17,22,67,21,4,25,25,114
