Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,21,MIL,NBA,SG,6,0,35,5,19,.263,0,3,.000,5,16,.313,.263,3,6,.500,3,1,4,1,1,0,1,2,13
2001-02,22,MIL,NBA,SG,67,8,1417,294,609,.483,88,198,.444,206,411,.501,.555,91,115,.791,77,147,224,91,42,7,57,96,767
2002-03,23,MIL,NBA,SG,82,14,2316,455,971,.469,182,416,.438,273,555,.492,.562,149,185,.805,98,273,371,117,100,13,74,143,1241
2003-04,24,MIL,NBA,SG,82,82,3021,633,1439,.440,127,363,.350,506,1076,.470,.484,383,441,.868,118,289,407,185,81,6,116,152,1776
2004-05,25,MIL,NBA,SG,75,75,2848,625,1418,.441,104,293,.355,521,1125,.463,.477,369,432,.854,72,240,312,172,63,8,133,152,1723
2005-06,26,MIL,NBA,SG,80,80,3130,682,1516,.450,163,413,.395,519,1103,.471,.504,501,571,.877,78,264,342,229,95,5,170,157,2028
2006-07,27,MIL,NBA,SF,53,53,2036,477,1025,.465,117,306,.382,360,719,.501,.522,345,416,.829,42,154,196,124,63,9,122,78,1416
2007-08,28,MIL,NBA,SG,72,71,2702,550,1243,.442,130,359,.362,420,884,.475,.495,402,490,.820,85,224,309,247,65,13,181,120,1632
2008-09,29,MIL,NBA,SG,33,32,1203,249,547,.455,70,191,.366,179,356,.503,.519,131,161,.814,24,83,107,88,35,2,53,45,699
2009-10,30,MIL,NBA,SG,18,12,492,75,213,.352,18,60,.300,57,153,.373,.394,47,66,.712,11,43,54,39,19,2,15,24,215
2010-11,31,MIL,NBA,SG,10,0,134,18,45,.400,4,17,.235,14,28,.500,.444,4,4,1.000,0,8,8,12,2,1,4,4,44
2011-12,32,PHO,NBA,SG,51,2,770,144,360,.400,42,132,.318,102,228,.447,.458,88,111,.793,14,63,77,33,13,0,37,29,418
