Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,23,VAN,NBA,PG,8,0,89,4,22,.182,2,10,.200,2,12,.167,.227,2,5,.400,3,9,12,23,4,0,5,5,12
1997-98,24,Did Not Play(other pro leagueCBA)
1998-99,25,SEA,NBA,PG,12,0,140,13,40,.325,6,15,.400,7,25,.280,.400,6,16,.375,4,16,20,24,7,0,16,17,38
1999-00,26,HOU,NBA,PG,30,0,502,69,159,.434,12,29,.414,57,130,.438,.472,57,73,.781,16,52,68,94,23,1,30,32,207
2000-01,27,HOU,NBA,PG,82,6,1654,184,413,.446,25,89,.281,159,324,.491,.476,151,194,.778,44,154,198,283,69,2,107,84,544
2001-02,28,HOU,NBA,PG,82,26,2249,251,631,.398,36,134,.269,215,497,.433,.426,127,169,.751,73,173,246,403,81,4,156,130,665
2002-03,29,HOU,NBA,PG,82,3,1375,134,330,.406,11,45,.244,123,285,.432,.423,78,114,.684,37,122,159,196,55,4,86,72,357
2003-04,30,TOT,NBA,PG,66,0,847,80,217,.369,20,58,.345,60,159,.377,.415,54,71,.761,10,55,65,121,44,5,64,51,234
2003-04,30,HOU,NBA,PG,30,0,401,27,87,.310,8,23,.348,19,64,.297,.356,18,24,.750,2,28,30,48,16,2,30,16,80
2003-04,30,NYK,NBA,PG,36,0,446,53,130,.408,12,35,.343,41,95,.432,.454,36,47,.766,8,27,35,73,28,3,34,35,154
2004-05,31,TOT,NBA,PG,38,0,360,35,109,.321,0,12,.000,35,97,.361,.321,20,24,.833,10,36,46,39,18,2,27,44,90
2004-05,31,NYK,NBA,PG,32,0,321,32,93,.344,0,12,.000,32,81,.395,.344,18,22,.818,9,33,42,34,17,2,25,42,82
2004-05,31,HOU,NBA,PG,6,0,39,3,16,.188,0,0,0,3,16,.188,.188,2,2,1.000,1,3,4,5,1,0,2,2,8
2005-06,32,TOT,NBA,PG,45,0,424,46,112,.411,4,14,.286,42,98,.429,.429,29,42,.690,12,42,54,50,20,1,33,49,125
2005-06,32,HOU,NBA,PG,29,0,241,26,65,.400,0,5,.000,26,60,.433,.400,13,17,.765,9,25,34,29,14,1,16,31,65
2005-06,32,NOK,NBA,PG,16,0,183,20,47,.426,4,9,.444,16,38,.421,.468,16,25,.640,3,17,20,21,6,0,17,18,60
