Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,22,KCK,NBA,SG,73,0,1878,470,955,.492,0,0,0,470,955,.492,.492,216,310,.697,70,105,175,174,74,12,145,179,1156
1978-79,23,KCK,NBA,SG,82,0,2839,741,1456,.509,0,0,0,741,1456,.509,.509,296,408,.725,176,178,354,281,125,17,200,255,1778
1979-80,24,KCK,NBA,SG,82,0,2885,781,1546,.505,10,36,.278,771,1510,.511,.508,286,412,.694,170,161,331,202,136,22,179,226,1858
1980-81,25,KCK,NBA,SG,71,0,2593,710,1306,.544,10,35,.286,700,1271,.551,.547,317,455,.697,119,139,258,233,93,18,173,172,1747
1981-82,26,NJN,NBA,SG,37,22,1025,225,480,.469,0,10,.000,225,470,.479,.469,74,127,.583,30,67,97,124,30,5,64,74,524
1982-83,27,NJN,NBA,SG,62,54,1885,426,834,.511,2,6,.333,424,828,.512,.512,82,145,.566,53,97,150,239,85,16,114,155,936
1983-84,28,NJN,NBA,SG,69,57,2168,583,1147,.508,5,20,.250,578,1127,.513,.510,194,319,.608,74,96,170,266,86,17,170,180,1365
1984-85,29,NJN,NBA,SG,56,45,1842,495,968,.511,4,21,.190,491,947,.518,.513,161,259,.622,60,88,148,232,84,7,117,145,1155
1985-86,30,NJN,NBA,SG,77,74,2395,542,1056,.513,8,22,.364,534,1034,.516,.517,122,210,.581,88,114,202,261,85,17,179,228,1214
1986-87,31,NJN,NBA,SG,7,6,127,19,42,.452,0,1,.000,19,41,.463,.452,6,9,.667,3,4,7,17,3,0,9,16,44
1987-88,32,NJN,NBA,SG,67,59,1882,337,736,.458,9,25,.360,328,711,.461,.464,47,92,.511,73,94,167,222,54,11,129,143,730
1988-89,33,BOS,NBA,SG,13,0,108,18,36,.500,1,3,.333,17,33,.515,.514,0,2,.000,4,9,13,9,3,1,12,10,37
