Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1947-48,20,BLB,BAA,0,22,0,0,27,101,.267,0,0,0,27,101,.267,.267,22,37,.595,0,0,0,6,0,0,0,34,76
1948-49,21,Did Not Play(
1949-50,22,SYR,NBA,0,62,0,0,175,524,.334,0,0,0,175,524,.334,.334,126,176,.716,0,0,0,189,0,0,0,157,476
1950-51,23,SYR,NBA,0,51,0,0,125,385,.325,0,0,0,125,385,.325,.325,117,159,.736,0,0,194,187,0,0,0,138,367
1951-52,24,SYR,NBA,SG,66,0,2209,206,615,.335,0,0,0,206,615,.335,.335,186,245,.759,0,0,225,220,0,0,0,165,598
1952-53,25,SYR,NBA,SG,67,0,2684,306,798,.383,0,0,0,306,798,.383,.383,340,416,.817,0,0,246,294,0,0,0,210,952
1953-54,26,SYR,NBA,SG,71,0,2727,316,838,.377,0,0,0,316,838,.377,.377,299,368,.813,0,0,291,364,0,0,0,187,931
1954-55,27,SYR,NBA,SG,72,0,2950,375,1036,.362,0,0,0,375,1036,.362,.362,300,370,.811,0,0,309,483,0,0,0,137,1050
1955-56,28,SYR,NBA,SG,57,0,1826,227,670,.339,0,0,0,227,670,.339,.339,188,233,.807,0,0,152,276,0,0,0,130,642
1956-57,29,SYR,NBA,PG,65,0,1235,143,442,.324,0,0,0,143,442,.324,.324,101,123,.821,0,0,130,193,0,0,0,91,387
1957-58,30,SYR,NBA,PG,64,0,763,107,315,.340,0,0,0,107,315,.340,.340,53,63,.841,0,0,107,93,0,0,0,88,267
1958-59,31,SYR,NBA,SG,21,0,266,32,98,.327,0,0,0,32,98,.327,.327,26,29,.897,0,0,39,36,0,0,0,25,90
1959-60,32,SYR,NBA,0,4,0,7,0,4,.000,0,0,0,0,4,.000,.000,0,0,0,0,0,1,0,0,0,0,1,0
