Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,BOS,NBA,SG,60,0,482,89,212,.420,0,0,0,89,212,.420,.420,67,86,.779,0,0,67,69,0,0,0,88,245
1973-74,23,BOS,NBA,SG,82,0,1165,238,475,.501,0,0,0,238,475,.501,.501,112,153,.732,49,94,143,171,39,34,0,173,588
1974-75,24,BOS,NBA,SG,82,0,1581,342,670,.510,0,0,0,342,670,.510,.510,119,156,.763,44,119,163,235,78,33,0,192,803
1975-76,25,PHO,NBA,PG,82,0,2960,657,1329,.494,0,0,0,657,1329,.494,.494,365,440,.830,74,185,259,440,210,38,0,218,1679
1976-77,26,PHO,NBA,PG,81,0,2600,682,1317,.518,0,0,0,682,1317,.518,.518,362,439,.825,57,133,190,459,134,21,0,171,1726
1977-78,27,PHO,NBA,SG,80,0,2481,809,1568,.516,0,0,0,809,1568,.516,.516,396,487,.813,41,123,164,437,138,31,280,162,2014
1978-79,28,PHO,NBA,SG,81,0,2641,801,1496,.535,0,0,0,801,1496,.535,.535,339,405,.837,35,124,159,529,111,26,232,159,1941
1979-80,29,PHO,NBA,SG,82,0,2665,692,1317,.525,26,93,.280,666,1224,.544,.535,382,443,.862,46,141,187,416,119,35,207,162,1792
1980-81,30,SEA,NBA,SG,36,0,1078,221,500,.442,6,25,.240,215,475,.453,.448,153,184,.832,11,57,68,148,46,14,78,70,601
1981-82,31,NYK,NBA,SG,18,12,451,86,194,.443,2,8,.250,84,186,.452,.448,36,47,.766,9,13,22,100,19,8,47,61,210
1982-83,32,NYK,NBA,SG,80,59,1978,318,693,.459,14,48,.292,304,645,.471,.469,148,184,.804,19,96,115,439,87,16,196,180,798
1983-84,33,PHO,NBA,SG,59,2,865,144,313,.460,7,26,.269,137,287,.477,.471,117,142,.824,8,35,43,148,41,6,77,69,412
