Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,23,DAL,NBA,PF,81,47,1773,195,407,.479,0,1,.000,195,406,.480,.479,78,107,.729,299,306,605,99,61,31,94,246,468
1994-95,24,DAL,NBA,PF,80,80,2385,372,839,.443,1,12,.083,371,827,.449,.444,80,124,.645,329,515,844,163,35,27,124,267,825
1995-96,25,DAL,NBA,PF,68,68,2322,327,733,.446,14,39,.359,313,694,.451,.456,102,133,.767,260,477,737,132,54,27,109,262,770
1996-97,26,TOR,NBA,PF,79,61,2421,258,537,.480,1,13,.077,257,524,.490,.481,99,121,.818,270,410,680,84,58,39,116,269,616
1997-98,27,TOR,NBA,PF,14,4,352,52,127,.409,2,3,.667,50,124,.403,.417,14,19,.737,50,52,102,18,10,3,16,39,120
1998-99,28,BOS,NBA,PF,18,2,206,20,51,.392,0,1,.000,20,50,.400,.392,14,17,.824,28,24,52,15,5,0,7,31,54
1999-00,29,DEN,NBA,PF,40,1,330,44,104,.423,2,3,.667,42,101,.416,.433,14,19,.737,41,62,103,19,3,6,13,50,104
2000-01,30,WAS,NBA,PF,45,1,638,60,153,.392,1,6,.167,59,147,.401,.395,41,55,.745,83,137,220,31,19,8,21,95,162
2001-02,31,WAS,NBA,PF,79,40,1920,222,508,.437,4,11,.364,218,497,.439,.441,106,130,.815,233,345,578,127,50,19,88,209,554
2002-03,32,DAL,NBA,PF,26,0,222,24,62,.387,0,0,0,24,62,.387,.387,5,11,.455,29,30,59,8,5,1,15,31,53
2003-04,33,GSW,NBA,PF,5,0,10,0,2,.000,0,0,0,0,2,.000,.000,0,0,0,1,0,1,0,0,0,0,2,0
