Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1978-79,21,GSW,NBA,PF,75,0,1703,369,771,.479,0,0,0,369,771,.479,.479,57,85,.671,127,220,347,97,54,12,111,233,795
1979-80,22,GSW,NBA,SF,62,0,1636,461,916,.503,0,6,.000,461,910,.507,.503,134,165,.812,119,197,316,123,63,9,122,186,1056
1980-81,23,GSW,NBA,SF,79,0,2309,549,1157,.475,3,17,.176,546,1140,.479,.476,168,205,.820,151,240,391,249,78,19,143,244,1269
1981-82,24,GSW,NBA,SF,76,8,1782,456,935,.488,6,28,.214,450,907,.496,.491,177,221,.801,123,143,266,209,65,10,122,220,1095
1982-83,25,GSW,NBA,SF,67,57,2397,589,1209,.487,4,15,.267,585,1194,.490,.489,255,308,.828,145,209,354,228,94,14,194,242,1437
1983-84,26,GSW,NBA,SF,79,76,2945,714,1509,.473,22,72,.306,692,1437,.482,.480,353,445,.793,184,254,438,246,103,11,228,252,1803
1984-85,27,GSW,NBA,SF,78,77,3081,819,1780,.460,47,150,.313,772,1630,.474,.473,501,613,.817,157,241,398,234,116,27,241,255,2186
1985-86,28,GSW,NBA,SF,64,63,2427,633,1313,.482,15,49,.306,618,1264,.489,.488,351,406,.865,126,203,329,237,92,22,184,229,1632
1986-87,29,GSW,NBA,SF,34,15,950,240,501,.479,4,17,.235,236,484,.488,.483,137,160,.856,55,82,137,86,45,7,68,103,621
1987-88,30,HOU,NBA,SG,81,11,1949,474,986,.481,5,21,.238,469,965,.486,.483,206,240,.858,71,151,222,162,58,14,118,197,1159
1988-89,31,HOU,NBA,SF,65,16,1157,198,480,.413,9,33,.273,189,447,.423,.422,77,89,.865,65,114,179,107,44,13,70,116,482
1989-90,32,NJN,NBA,SF,82,24,2213,432,950,.455,10,35,.286,422,915,.461,.460,198,237,.835,101,147,248,145,66,20,119,202,1072
