Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,24,PHI,NBA,SG,5,0,30,2,7,.286,1,3,.333,1,4,.250,.357,0,0,0,0,1,1,0,1,0,2,1,5
2001-02,25,PHI,NBA,SG,74,12,890,103,240,.429,12,44,.273,91,196,.464,.454,36,48,.750,31,80,111,71,21,4,48,109,254
2002-03,26,DAL,NBA,SG,75,32,1173,93,211,.441,21,51,.412,72,160,.450,.491,23,34,.676,47,98,145,57,52,8,43,134,230
2003-04,27,UTA,NBA,SG,82,4,2020,329,805,.409,62,166,.373,267,639,.418,.447,195,248,.786,60,181,241,107,63,13,111,262,915
2004-05,28,UTA,NBA,SG,63,32,1790,303,667,.454,54,134,.403,249,533,.467,.495,112,150,.747,48,153,201,91,44,8,79,205,772
2005-06,29,PHO,NBA,SG,79,79,2959,425,930,.457,197,446,.442,228,484,.471,.563,115,146,.788,44,209,253,207,76,22,89,248,1162
2006-07,30,PHO,NBA,SG,78,78,2917,410,950,.432,205,496,.413,205,454,.452,.539,118,152,.776,48,203,251,196,50,22,83,233,1143
2007-08,31,PHO,NBA,SG,75,75,2646,317,753,.421,176,439,.401,141,314,.449,.538,79,91,.868,47,227,274,168,54,27,65,220,889
2008-09,32,TOT,NBA,SG,67,66,2315,299,684,.437,114,271,.421,185,413,.448,.520,87,102,.853,41,202,243,142,50,8,86,166,799
2008-09,32,PHO,NBA,SG,22,22,712,76,177,.429,44,94,.468,32,83,.386,.554,16,21,.762,8,56,64,29,13,2,18,57,212
2008-09,32,CHA,NBA,SG,45,44,1603,223,507,.440,70,177,.395,153,330,.464,.509,71,81,.877,33,146,179,113,37,6,68,109,587
2009-10,33,TOT,NBA,SG,6,5,180,28,61,.459,12,27,.444,16,34,.471,.557,3,3,1.000,5,18,23,13,4,2,5,15,71
2009-10,33,CHA,NBA,SG,5,5,157,24,55,.436,9,24,.375,15,31,.484,.518,3,3,1.000,5,16,21,10,4,2,5,13,60
2009-10,33,GSW,NBA,SG,1,0,23,4,6,.667,3,3,1.000,1,3,.333,.917,0,0,0,0,2,2,3,0,0,0,2,11
2010-11,34,UTA,NBA,SG,68,63,2097,191,467,.409,68,193,.352,123,274,.449,.482,91,102,.892,31,145,176,118,56,14,63,169,541
2011-12,35,UTA,NBA,SG,34,33,796,81,174,.466,34,87,.391,47,87,.540,.563,21,25,.840,6,43,49,38,13,2,21,78,217
