Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,21,DNR,ABA,SG,81,0,1820,460,1108,.415,17,60,.283,443,1048,.423,.423,215,285,.754,125,106,231,168,0,0,186,152,1152
1971-72,22,DNR,ABA,SG,84,0,3006,920,2000,.460,3,22,.136,917,1978,.464,.461,457,568,.805,171,227,398,258,0,0,266,244,2300
1972-73,23,DNR,ABA,SG,81,0,2589,732,1670,.438,5,24,.208,727,1646,.442,.440,421,556,.757,140,231,371,222,127,0,283,241,1890
1973-74,24,DNR,ABA,SF,75,0,2244,597,1395,.428,2,24,.083,595,1371,.434,.429,208,276,.754,113,213,326,191,103,12,196,190,1404
1974-75,25,DNA,ABA,SG,82,0,2863,694,1374,.505,1,12,.083,693,1362,.509,.505,303,402,.754,108,283,391,442,166,19,314,214,1692
1975-76,26,DNA,ABA,SG,84,0,3121,619,1211,.511,4,24,.167,615,1187,.518,.513,273,350,.780,121,333,454,597,153,23,360,183,1515
1976-77,27,DET,NBA,SG,77,0,1597,356,834,.427,0,0,0,356,834,.427,.427,138,195,.708,48,133,181,180,68,5,0,100,850
1977-78,28,TOT,NBA,SG,64,0,1323,216,576,.375,0,0,0,216,576,.375,.375,85,104,.817,53,104,157,159,75,7,126,90,517
1977-78,28,DET,NBA,SG,32,0,739,143,346,.413,0,0,0,143,346,.413,.413,54,64,.844,27,55,82,87,32,3,78,48,340
1977-78,28,DEN,NBA,SG,32,0,584,73,230,.317,0,0,0,73,230,.317,.317,31,40,.775,26,49,75,72,43,4,48,42,177
1978-79,29,TOT,NBA,SG,69,0,979,174,433,.402,0,0,0,174,433,.402,.402,76,111,.685,35,61,96,126,37,5,100,57,424
1978-79,29,PHI,NBA,SG,37,0,452,87,196,.444,0,0,0,87,196,.444,.444,28,40,.700,16,19,35,58,25,1,47,27,202
1978-79,29,NJN,NBA,SG,32,0,527,87,237,.367,0,0,0,87,237,.367,.367,48,71,.676,19,42,61,68,12,4,53,30,222
1979-80,30,NJN,NBA,SG,8,0,81,18,47,.383,0,2,.000,18,45,.400,.383,5,10,.500,6,5,11,14,9,0,12,3,41
