Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,21,WSB,NBA,PF,65,51,1788,275,565,.487,27,82,.329,248,483,.513,.511,78,120,.650,93,210,303,85,42,54,103,206,655
1996-97,22,POR,NBA,PF,62,56,1892,380,681,.558,9,33,.273,371,648,.573,.565,169,265,.638,122,297,419,74,48,59,114,198,938
1997-98,23,POR,NBA,PF,77,77,2896,466,875,.533,8,39,.205,458,836,.548,.537,184,278,.662,132,346,478,195,75,88,167,268,1124
1998-99,24,POR,NBA,PF,49,18,1414,242,476,.508,13,31,.419,229,445,.515,.522,131,179,.732,57,184,241,60,48,54,80,175,628
1999-00,25,POR,NBA,PF,81,77,2845,542,1045,.519,8,50,.160,534,995,.537,.522,233,331,.704,129,437,566,142,87,107,157,216,1325
2000-01,26,POR,NBA,PF,77,75,2940,590,1178,.501,52,162,.321,538,1016,.530,.523,245,320,.766,147,455,602,212,90,135,158,206,1477
2001-02,27,POR,NBA,PF,79,79,2963,603,1287,.469,114,317,.360,489,970,.504,.513,201,274,.734,136,509,645,152,101,101,131,212,1521
2002-03,28,POR,NBA,PF,74,74,2684,515,1094,.471,110,307,.358,405,787,.515,.521,200,272,.735,113,435,548,153,70,77,140,223,1340
2003-04,29,TOT,NBA,PF,68,66,2390,425,974,.436,82,248,.331,343,726,.472,.478,156,212,.736,102,357,459,156,61,122,119,190,1088
2003-04,29,POR,NBA,PF,45,44,1675,296,669,.442,59,173,.341,237,496,.478,.487,115,155,.742,69,229,298,114,36,72,87,131,766
2003-04,29,ATL,NBA,PF,1,1,42,8,24,.333,1,6,.167,7,18,.389,.354,3,3,1.000,1,5,6,2,1,5,3,0,20
2003-04,29,DET,NBA,PF,22,21,673,121,281,.431,22,69,.319,99,212,.467,.470,38,54,.704,32,123,155,40,24,45,29,59,302
2004-05,30,DET,NBA,PF,79,79,2687,467,1062,.440,75,236,.318,392,826,.475,.475,136,195,.697,174,470,644,142,65,115,127,236,1145
2005-06,31,DET,NBA,PF,80,80,2780,459,1067,.430,155,434,.357,304,633,.480,.503,136,183,.743,90,457,547,182,82,130,85,232,1209
2006-07,32,DET,NBA,C,75,72,2419,357,843,.423,104,296,.351,253,547,.463,.485,108,137,.788,90,453,543,127,75,118,94,225,926
2007-08,33,DET,NBA,C,77,76,2346,376,870,.432,112,315,.356,264,555,.476,.497,115,150,.767,84,427,511,137,91,129,86,213,979
2008-09,34,DET,NBA,C,66,63,2123,302,720,.419,113,319,.354,189,401,.471,.498,78,101,.772,56,434,490,91,62,86,59,197,795
2009-10,35,BOS,NBA,C,79,13,1780,266,650,.409,82,290,.283,184,360,.511,.472,96,125,.768,42,283,325,80,80,70,63,222,710
2010-11,36,Did Not Play(retired)
2011-12,37,Did Not Play(retired)
2012-13,38,NYK,NBA,C,21,0,296,55,142,.387,22,69,.319,33,73,.452,.465,14,20,.700,11,72,83,6,13,15,10,40,146
