Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22,NOJ,NBA,C,75,0,1346,184,379,.485,0,0,0,184,379,.485,.485,159,205,.776,193,335,528,155,52,60,0,209,527
1976-77,23,NOJ,NBA,C,76,0,1505,184,386,.477,0,0,0,184,386,.477,.477,156,197,.792,210,377,587,208,45,63,0,244,524
1977-78,24,NOJ,NBA,C,82,0,2119,304,602,.505,0,0,0,304,602,.505,.505,225,289,.779,249,510,759,233,89,129,225,293,833
1978-79,25,NOJ,NBA,C,80,0,2705,440,870,.506,0,0,0,440,870,.506,.506,373,458,.814,303,723,1026,285,126,166,288,309,1253
1979-80,26,TOT,NBA,C,80,0,1839,229,484,.473,0,3,.000,229,481,.476,.473,244,310,.787,200,315,515,178,78,96,198,273,702
1979-80,26,NJN,NBA,C,57,0,1466,186,399,.466,0,3,.000,186,396,.470,.466,197,250,.788,156,241,397,128,50,79,152,215,569
1979-80,26,PHO,NBA,C,23,0,373,43,85,.506,0,0,0,43,85,.506,.506,47,60,.783,44,74,118,50,28,17,46,58,133
1980-81,27,PHO,NBA,C,81,0,1686,196,387,.506,0,2,.000,196,385,.509,.506,175,231,.758,131,310,441,282,79,63,209,210,567
1981-82,28,PHO,NBA,C,81,39,1892,236,505,.467,0,1,.000,236,504,.468,.467,167,223,.749,168,329,497,293,64,71,244,292,639
1982-83,29,TOT,NBA,C,70,23,1345,130,293,.444,0,0,0,130,293,.444,.444,142,175,.811,131,273,404,138,54,39,118,221,402
1982-83,29,DEN,NBA,C,38,0,565,59,141,.418,0,0,0,59,141,.418,.418,55,70,.786,61,111,172,59,21,18,53,115,173
1982-83,29,UTA,NBA,C,32,23,780,71,152,.467,0,0,0,71,152,.467,.467,87,105,.829,70,162,232,79,33,21,65,106,229
1983-84,30,UTA,NBA,C,75,30,1674,132,264,.500,0,0,0,132,264,.500,.500,124,162,.765,140,350,490,157,55,29,148,273,388
1984-85,31,UTA,NBA,C,77,34,1276,103,216,.477,0,2,.000,103,214,.481,.477,84,112,.750,118,232,350,120,42,30,124,227,290
1985-86,32,SAC,NBA,C,37,0,324,28,49,.571,0,2,.000,28,47,.596,.571,18,22,.818,29,52,81,43,10,3,22,62,74
