Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,21,WAS,NBA,SG,71,12,1373,254,605,.420,28,77,.364,226,528,.428,.443,103,133,.774,38,91,129,108,28,6,84,142,639
2000-01,22,WAS,NBA,SF,78,42,2519,547,1249,.438,40,146,.274,507,1103,.460,.454,277,319,.868,75,163,238,224,75,10,201,203,1411
2001-02,23,WAS,NBA,SG,63,57,2203,472,1084,.435,16,42,.381,456,1042,.438,.443,300,337,.890,73,143,216,171,38,14,132,136,1260
2002-03,24,DET,NBA,SG,82,82,2640,570,1286,.443,32,119,.269,538,1167,.461,.456,440,528,.833,88,230,318,208,64,13,200,249,1612
2003-04,25,DET,NBA,SG,78,78,2772,530,1166,.455,18,68,.265,512,1098,.466,.462,297,342,.868,78,201,279,310,103,17,210,222,1375
2004-05,26,DET,NBA,SG,76,76,2926,510,1160,.440,36,118,.305,474,1042,.455,.455,368,429,.858,74,221,295,372,77,13,217,232,1424
2005-06,27,DET,NBA,SG,80,80,2825,649,1322,.491,55,120,.458,594,1202,.494,.512,256,303,.845,84,172,256,275,52,16,173,207,1609
2006-07,28,DET,NBA,SG,75,75,2763,547,1170,.468,44,129,.341,503,1041,.483,.486,347,403,.861,75,207,282,285,59,15,159,232,1485
2007-08,29,DET,NBA,SG,72,72,2424,499,1030,.484,62,141,.440,437,889,.492,.515,184,221,.833,75,160,235,299,73,10,132,171,1244
2008-09,30,DET,NBA,SG,67,51,2279,466,1043,.447,70,190,.368,396,853,.464,.480,223,263,.848,44,163,207,297,40,4,133,176,1225
2009-10,31,DET,NBA,SG,46,46,1552,293,717,.409,41,138,.297,252,579,.435,.437,204,241,.846,30,92,122,202,30,3,115,115,831
2010-11,32,DET,NBA,SG,55,39,1498,288,671,.429,55,144,.382,233,527,.442,.470,146,172,.849,24,102,126,171,39,4,88,95,777
2011-12,33,CHI,NBA,SG,28,28,697,140,310,.452,17,46,.370,123,264,.466,.479,29,37,.784,20,46,66,84,12,1,49,56,326
2012-13,34,CHI,NBA,SG,50,45,1088,204,475,.429,16,52,.308,188,423,.444,.446,66,77,.857,16,67,83,119,24,5,84,93,490
