Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,23,TOT,NBA,SG,14,0,62,11,31,.355,0,5,.000,11,26,.423,.355,5,8,.625,0,4,4,5,4,0,8,0,27
2002-03,23,MIL,NBA,SG,12,0,42,9,26,.346,0,4,.000,9,22,.409,.346,5,8,.625,0,1,1,3,4,0,4,0,23
2002-03,23,SEA,NBA,SG,2,0,20,2,5,.400,0,1,.000,2,4,.500,.400,0,0,0,0,3,3,2,0,0,4,0,4
2003-04,24,SEA,NBA,PG,82,18,2021,389,915,.425,67,229,.293,322,686,.469,.462,168,235,.715,45,159,204,205,81,28,149,158,1013
2004-05,25,SEA,NBA,SG,49,6,883,131,363,.361,24,95,.253,107,268,.399,.394,59,80,.738,15,83,98,65,30,11,57,59,345
2005-06,26,TOT,NBA,SG,76,27,2112,321,768,.418,37,141,.262,284,627,.453,.442,172,242,.711,33,120,153,197,68,11,135,133,851
2005-06,26,SEA,NBA,SG,48,2,1085,179,451,.397,17,76,.224,162,375,.432,.416,99,138,.717,18,68,86,120,30,4,79,69,474
2005-06,26,CLE,NBA,SG,28,25,1027,142,317,.448,20,65,.308,122,252,.484,.479,73,104,.702,15,52,67,77,38,7,56,64,377
2006-07,27,DET,NBA,SG,69,18,1477,177,438,.404,24,83,.289,153,355,.431,.432,87,120,.725,26,87,113,187,49,13,90,96,465
2007-08,28,TOT,NBA,PG,42,19,874,154,367,.420,20,63,.317,134,304,.441,.447,68,98,.694,23,60,83,144,38,4,84,50,396
2007-08,28,DET,NBA,PG,19,2,347,57,139,.410,6,27,.222,51,112,.455,.432,22,37,.595,13,23,36,64,13,1,31,19,142
2007-08,28,IND,NBA,PG,23,17,527,97,228,.425,14,36,.389,83,192,.432,.456,46,61,.754,10,37,47,80,25,3,53,31,254
2008-09,29,ATL,NBA,SG,80,2,1975,355,795,.447,87,242,.360,268,553,.485,.501,177,233,.760,22,146,168,158,88,17,128,173,974
2009-10,30,TOT,NBA,SG,75,2,1673,268,683,.392,69,221,.312,199,462,.431,.443,141,194,.727,28,155,183,135,46,16,91,126,746
2009-10,30,CHA,NBA,SG,46,1,993,160,411,.389,41,131,.313,119,280,.425,.439,93,131,.710,15,83,98,84,28,12,65,77,454
2009-10,30,CHI,NBA,SG,29,1,680,108,272,.397,28,90,.311,80,182,.440,.449,48,63,.762,13,72,85,51,18,4,26,49,292
