Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,LAL,NBA,SF,24,2,144,21,51,.412,1,6,.167,20,45,.444,.422,22,31,.710,17,13,30,2,5,3,12,16,65
1999-00,24,SEA,NBA,SF,81,74,2097,354,661,.536,12,27,.444,342,634,.539,.545,222,321,.692,218,216,434,126,94,40,144,190,942
2000-01,25,SEA,NBA,SF,76,22,2059,370,749,.494,2,36,.056,368,713,.516,.495,246,361,.681,183,199,382,161,103,45,155,176,988
2001-02,26,POR,NBA,SF,75,13,1765,319,619,.515,9,36,.250,310,583,.532,.523,192,274,.701,155,143,298,107,79,37,114,140,839
2002-03,27,POR,NBA,SF,78,17,1655,254,516,.492,3,20,.150,251,496,.506,.495,138,220,.627,120,144,264,101,73,29,117,161,649
2003-04,28,POR,NBA,SF,73,1,1651,200,395,.506,2,12,.167,198,383,.517,.509,105,190,.553,129,139,268,139,84,21,105,152,507
2004-05,29,POR,NBA,SF,70,36,1957,319,601,.531,2,25,.080,317,576,.550,.532,169,282,.599,126,147,273,138,106,21,143,164,809
2005-06,30,TOT,NBA,SF-SG,71,22,1792,327,635,.515,1,13,.077,326,622,.524,.516,203,338,.601,118,126,244,127,76,21,150,150,858
2005-06,30,POR,NBA,SF,45,2,1056,188,379,.496,0,7,.000,188,372,.505,.496,138,226,.611,73,81,154,60,42,12,82,79,514
2005-06,30,DEN,NBA,SG,26,20,736,139,256,.543,1,6,.167,138,250,.552,.545,65,112,.580,45,45,90,67,34,9,68,71,344
2006-07,31,MIL,NBA,SF,81,53,2508,475,867,.548,3,19,.158,472,848,.557,.550,241,376,.641,190,250,440,232,110,25,199,232,1194
2007-08,32,LAC,NBA,SF,20,5,327,39,86,.453,0,2,.000,39,84,.464,.453,24,43,.558,24,40,64,17,21,7,27,37,102
