Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23,PHI,NBA,PG,82,6,1372,156,371,.420,55,153,.359,101,218,.463,.495,61,69,.884,19,75,94,306,69,3,65,116,428
1989-90,24,PHI,NBA,PG,72,1,975,119,276,.431,31,79,.392,88,197,.447,.487,50,57,.877,15,49,64,207,47,0,38,105,319
1990-91,25,MIN,NBA,PG,80,0,980,159,370,.430,45,135,.333,114,235,.485,.491,61,72,.847,28,44,72,204,53,5,51,122,424
1991-92,26,MIN,NBA,PG,82,0,1082,167,374,.447,32,90,.356,135,284,.475,.489,51,63,.810,27,72,99,205,66,7,51,82,417
1992-93,27,HOU,NBA,PG,82,0,1516,183,385,.475,41,99,.414,142,286,.497,.529,112,135,.830,22,77,99,243,79,3,72,136,519
1993-94,28,HOU,NBA,PG,73,0,1225,142,289,.491,23,61,.377,119,228,.522,.531,74,85,.871,10,92,102,149,51,2,55,98,381
1994-95,29,TOT,NBA,PG,59,0,808,126,275,.458,25,69,.362,101,206,.490,.504,64,79,.810,14,52,66,116,34,4,47,56,341
1994-95,29,HOU,NBA,PG,28,0,186,35,65,.538,8,17,.471,27,48,.563,.600,18,21,.857,1,12,13,22,8,1,14,14,96
1994-95,29,DAL,NBA,PG,31,0,622,91,210,.433,17,52,.327,74,158,.468,.474,46,58,.793,13,40,53,94,26,3,33,42,245
1995-96,30,DAL,NBA,PG,69,0,716,134,293,.457,25,62,.403,109,231,.472,.500,59,69,.855,11,30,41,100,42,3,43,53,352
1996-97,31,NYK,NBA,PG,38,0,251,19,39,.487,5,12,.417,14,27,.519,.551,14,15,.933,6,12,18,29,21,0,17,35,57
1997-98,32,CLE,NBA,PG,43,0,312,28,66,.424,5,11,.455,23,55,.418,.462,18,20,.900,6,24,30,49,18,3,12,25,79
