Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,CHI,NBA,PF,51,0,337,53,104,.510,1,2,.500,52,102,.510,.514,20,28,.714,42,56,98,16,12,13,23,51,127
1991-92,23,CHI,NBA,PF,63,0,690,83,172,.483,0,3,.000,83,169,.491,.483,48,74,.649,90,157,247,50,13,36,35,122,214
1992-93,24,CHI,NBA,PF,71,5,1369,166,356,.466,0,7,.000,166,349,.476,.466,90,126,.714,168,283,451,68,55,66,73,230,422
1993-94,25,CHI,NBA,C,38,11,638,114,236,.483,1,5,.200,113,231,.489,.485,60,98,.612,69,112,181,39,16,21,44,112,289
1994-95,26,PHI,NBA,PF,77,43,1781,206,434,.475,0,7,.000,206,427,.482,.475,79,107,.738,173,312,485,59,71,40,84,237,491
1995-96,27,PHI,NBA,PF,13,1,193,15,29,.517,0,2,.000,15,27,.556,.517,10,12,.833,13,33,46,5,6,7,8,27,40
1996-97,28,PHI,NBA,C,62,52,1317,162,318,.509,0,2,.000,162,316,.513,.509,38,55,.691,155,242,397,41,44,41,50,206,362
1997-98,29,PHI,NBA,C,58,7,801,93,213,.437,0,5,.000,93,208,.447,.437,51,63,.810,87,124,211,29,17,21,30,132,237
1998-99,30,TOT,NBA,C,7,0,46,5,17,.294,0,0,0,5,17,.294,.294,4,7,.571,3,11,14,1,3,2,4,9,14
1998-99,30,PHI,NBA,C,2,0,17,0,2,.000,0,0,0,0,2,.000,.000,0,0,0,1,1,2,1,2,1,2,4,0
1998-99,30,MIL,NBA,C,5,0,29,5,15,.333,0,0,0,5,15,.333,.333,4,7,.571,2,10,12,0,1,1,2,5,14
1999-00,31,MIL,NBA,C,68,46,1488,213,426,.500,0,0,0,213,426,.500,.500,94,129,.729,177,271,448,28,40,66,65,230,520
2000-01,32,MIL,NBA,C,66,31,1272,171,361,.474,1,4,.250,170,357,.476,.475,60,70,.857,97,267,364,35,48,32,41,178,403
2001-02,33,DEN,NBA,PF,41,16,737,86,217,.396,0,2,.000,86,215,.400,.396,30,41,.732,82,127,209,13,17,33,35,98,202
2002-03,34,PHO,NBA,C,69,33,872,120,292,.411,0,2,.000,120,290,.414,.411,33,42,.786,72,121,193,22,27,21,32,159,273
2003-04,35,TOT,NBA,C,43,21,527,90,186,.484,2,3,.667,88,183,.481,.489,16,27,.593,38,94,132,17,20,16,16,95,198
2003-04,35,PHO,NBA,C,16,10,267,53,101,.525,2,2,1.000,51,99,.515,.535,9,13,.692,23,49,72,6,15,7,6,45,117
2003-04,35,DAL,NBA,C,27,11,260,37,85,.435,0,1,.000,37,84,.440,.435,7,14,.500,15,45,60,11,5,9,10,50,81
2004-05,36,CLE,NBA,C,19,0,152,12,41,.293,0,1,.000,12,40,.300,.293,9,11,.818,15,15,30,8,4,6,5,30,33
