Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,20,VAN,NBA,PF,80,71,2802,550,1214,.453,7,27,.259,543,1187,.457,.456,387,519,.746,216,339,555,175,79,79,225,199,1494
1997-98,21,VAN,NBA,SF,82,82,2950,653,1347,.485,21,51,.412,632,1296,.488,.493,502,640,.784,227,354,581,213,89,76,257,201,1829
1998-99,22,VAN,NBA,SF,50,50,2021,386,893,.432,11,36,.306,375,857,.438,.438,369,439,.841,114,260,374,172,69,55,186,137,1152
1999-00,23,VAN,NBA,SF,82,82,3223,594,1277,.465,29,96,.302,565,1181,.478,.477,446,551,.809,218,607,825,271,89,87,249,244,1663
2000-01,24,VAN,NBA,SF,81,81,3241,604,1280,.472,12,64,.188,592,1216,.487,.477,443,531,.834,175,560,735,250,90,77,231,238,1663
2001-02,25,ATL,NBA,PF,77,77,2980,598,1297,.461,21,70,.300,577,1227,.470,.469,419,523,.801,198,498,696,239,98,81,250,214,1636
2002-03,26,ATL,NBA,PF,81,81,3087,566,1183,.478,21,60,.350,545,1123,.485,.487,455,541,.841,175,502,677,242,87,38,212,240,1608
2003-04,27,TOT,NBA,PF,85,56,2684,501,1054,.475,9,34,.265,492,1020,.482,.480,373,429,.869,189,450,639,174,68,37,184,222,1384
2003-04,27,ATL,NBA,PF,53,53,1956,383,790,.485,5,23,.217,378,767,.493,.488,294,334,.880,141,354,495,127,44,19,131,147,1065
2003-04,27,POR,NBA,PF,32,3,728,118,264,.447,4,11,.364,114,253,.451,.455,79,95,.832,48,96,144,47,24,18,53,75,319
2004-05,28,POR,NBA,PF,54,49,1867,337,670,.503,15,39,.385,322,631,.510,.514,220,254,.866,123,269,392,111,49,26,117,150,909
2005-06,29,SAC,NBA,PF,72,30,1961,332,632,.525,5,22,.227,327,610,.536,.529,218,278,.784,106,251,357,149,48,42,108,227,887
2006-07,30,SAC,NBA,C,80,45,2015,310,654,.474,3,20,.150,307,634,.484,.476,170,234,.726,122,276,398,109,53,40,116,243,793
2007-08,31,SAC,NBA,PF,6,0,51,3,14,.214,0,0,0,3,14,.214,.214,4,4,1.000,6,4,10,4,1,0,1,9,10
