Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,POR,NBA,PF,82,0,3245,784,1837,.427,0,0,0,784,1837,.427,.427,441,621,.710,0,0,943,350,0,0,0,186,2009
1972-73,23,POR,NBA,PF,80,0,3152,761,1684,.452,0,0,0,761,1684,.452,.452,384,531,.723,0,0,870,440,0,0,0,253,1906
1973-74,24,POR,NBA,PF,75,0,2853,685,1492,.459,0,0,0,685,1492,.459,.459,314,412,.762,196,488,684,326,90,63,0,214,1684
1974-75,25,POR,NBA,PF,82,0,3162,692,1391,.497,0,0,0,692,1391,.497,.497,394,558,.706,231,646,877,287,108,80,0,289,1778
1975-76,26,POR,NBA,PF,79,0,3044,580,1201,.483,0,0,0,580,1201,.483,.483,345,512,.674,245,467,712,244,77,53,0,250,1505
1976-77,27,BOS,NBA,PF,82,0,2642,464,1012,.458,0,0,0,464,1012,.458,.458,310,464,.668,268,556,824,169,64,61,0,331,1238
1977-78,28,BOS,NBA,PF,81,0,2413,433,927,.467,0,0,0,433,927,.467,.467,217,329,.660,223,450,673,171,67,46,226,318,1083
1978-79,29,SDC,NBA,PF,79,0,2022,312,676,.462,0,0,0,312,676,.462,.462,147,226,.650,159,246,405,126,70,36,180,274,771
1979-80,30,SDC,NBA,PF,71,0,2146,210,496,.423,0,1,.000,210,495,.424,.423,83,152,.546,138,271,409,213,76,52,167,241,503
1980-81,31,SDC,NBA,PF,49,0,1083,125,286,.437,0,1,.000,125,285,.439,.437,76,150,.507,79,144,223,111,40,40,94,168,326
