Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,POR,NBA,PG,78,22,1462,216,477,.453,26,74,.351,190,403,.471,.480,98,130,.754,40,110,150,243,75,9,112,142,556
1985-86,23,POR,NBA,PG,81,51,1868,272,597,.456,27,83,.325,245,514,.477,.478,135,164,.823,41,136,177,257,113,10,115,188,706
1986-87,24,TOT,NBA,PG,70,31,1322,169,397,.426,4,17,.235,165,380,.434,.431,82,107,.766,23,85,108,210,56,12,70,99,424
1986-87,24,CHI,NBA,PG,27,18,473,49,142,.345,0,9,.000,49,133,.368,.345,33,39,.846,9,33,42,94,19,6,32,38,131
1986-87,24,PHI,NBA,PG,43,13,849,120,255,.471,4,8,.500,116,247,.470,.478,49,68,.721,14,52,66,116,37,6,38,61,293
1987-88,25,TOT,NBA,PG,68,53,1513,203,441,.460,3,10,.300,200,431,.464,.464,75,95,.789,58,115,173,261,62,14,88,132,484
1987-88,25,PHI,NBA,PG,12,0,152,15,40,.375,0,0,0,15,40,.375,.375,7,9,.778,7,11,18,26,6,0,11,20,37
1987-88,25,WSB,NBA,PG,56,53,1361,188,401,.469,3,10,.300,185,391,.473,.473,68,86,.791,51,104,155,235,56,14,77,112,447
1988-89,26,WSB,NBA,PG,80,5,1425,203,457,.444,3,25,.120,200,432,.463,.447,125,167,.749,62,120,182,225,69,14,64,158,534
1989-90,27,WSB,NBA,PG,73,1,977,142,297,.478,0,5,.000,142,292,.486,.478,77,95,.811,55,121,176,148,47,10,38,98,361
1990-91,28,SAC,NBA,PG,19,0,251,23,56,.411,5,14,.357,18,42,.429,.455,7,10,.700,5,21,26,37,11,1,11,27,58
1991-92,29,Did Not Play(other pro leagueCBA)
1992-93,30,Did Not Play(other pro leagueCBA)
1993-94,31,Did Not Play(other pro leagueCroatia)
1994-95,32,CLE,NBA,PG,57,7,752,67,169,.396,8,35,.229,59,134,.440,.420,54,71,.761,13,46,59,101,30,6,36,53,196
