Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,25,CAR,ABA,SG,64,0,900,148,415,.357,13,53,.245,135,362,.373,.372,110,142,.775,44,76,120,120,0,0,116,144,419
1972-73,26,CAR,ABA,SG,84,0,1816,325,652,.498,8,24,.333,317,628,.505,.505,145,204,.711,108,155,263,225,120,0,185,256,803
1973-74,27,CAR,ABA,SG,84,0,2582,423,872,.485,2,27,.074,421,845,.498,.486,251,325,.772,121,237,358,348,250,25,239,326,1099
1974-75,28,KEN,ABA,SG,72,0,1971,256,582,.440,1,8,.125,255,574,.444,.441,104,138,.754,65,203,268,365,130,15,167,231,617
1975-76,29,TOT,ABA,SG,73,0,1927,267,631,.423,3,12,.250,264,619,.426,.426,136,170,.800,52,156,208,310,138,23,194,277,673
1975-76,29,KEN,ABA,SG,43,0,1231,139,328,.424,1,2,.500,138,326,.423,.425,54,69,.783,25,110,135,204,81,13,109,165,333
1975-76,29,NYA,ABA,SG,30,0,696,128,303,.422,2,10,.200,126,293,.430,.426,82,101,.812,27,46,73,106,57,10,85,112,340
1976-77,30,DEN,NBA,SG,72,0,2002,245,551,.445,0,0,0,245,551,.445,.445,99,133,.744,52,177,229,324,106,13,0,255,589
1977-78,31,TOT,NBA,PG,70,0,1020,123,280,.439,0,0,0,123,280,.439,.439,57,73,.781,20,92,112,157,58,6,90,124,303
1977-78,31,BUF,NBA,PG,41,0,727,81,184,.440,0,0,0,81,184,.440,.440,50,63,.794,11,64,75,123,42,2,68,88,212
1977-78,31,PHI,NBA,PG,29,0,293,42,96,.438,0,0,0,42,96,.438,.438,7,10,.700,9,28,37,34,16,4,22,36,91
1978-79,32,PHO,NBA,SG,36,0,465,62,132,.470,0,0,0,62,132,.470,.470,42,46,.913,25,44,69,60,19,0,54,51,166
