Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22,DET,NBA,C,75,2,1305,128,230,.557,0,1,.000,128,229,.559,.557,85,120,.708,110,187,297,13,16,116,56,144,341
1996-97,23,DET,NBA,C,76,38,1292,179,337,.531,0,0,0,179,337,.531,.531,81,116,.698,109,147,256,13,29,111,56,181,439
1997-98,24,TOT,NBA,C,82,67,2447,306,597,.513,0,0,0,306,597,.513,.513,197,281,.701,221,326,547,57,50,258,116,292,809
1997-98,24,DET,NBA,C,24,12,586,57,111,.514,0,0,0,57,111,.514,.514,43,63,.683,46,75,121,15,12,55,34,83,157
1997-98,24,PHI,NBA,C,58,55,1861,249,486,.512,0,0,0,249,486,.512,.512,154,218,.706,175,251,426,42,38,203,82,209,652
1998-99,25,PHI,NBA,PF,50,50,1627,197,419,.470,0,0,0,197,419,.470,.470,166,229,.725,139,268,407,30,45,149,92,180,560
1999-00,26,PHI,NBA,PF,57,56,1795,247,491,.503,0,0,0,247,491,.503,.503,182,236,.771,140,295,435,36,32,171,108,185,676
2000-01,27,PHI,NBA,C,50,50,1800,228,457,.499,0,0,0,228,457,.499,.499,165,217,.760,125,288,413,58,30,187,126,165,621
2001-02,28,ATL,NBA,C,3,2,82,10,20,.500,0,0,0,10,20,.500,.500,6,11,.545,5,11,16,1,1,8,7,8,26
2002-03,29,ATL,NBA,C,81,81,2518,276,595,.464,0,0,0,276,595,.464,.464,154,214,.720,154,453,607,73,56,262,137,271,706
2003-04,30,TOT,NBA,C,85,83,2664,266,549,.485,0,0,0,266,549,.485,.485,140,217,.645,195,419,614,71,54,307,120,300,672
2003-04,30,ATL,NBA,C,53,52,1648,171,373,.458,0,0,0,171,373,.458,.458,96,147,.653,105,276,381,51,30,166,86,189,438
2003-04,30,POR,NBA,C,32,31,1016,95,176,.540,0,0,0,95,176,.540,.540,44,70,.629,90,143,233,20,24,141,34,111,234
2004-05,31,POR,NBA,C,63,45,1731,115,257,.447,0,0,0,115,257,.447,.447,74,107,.692,111,220,331,34,23,158,56,183,304
2005-06,32,POR,NBA,C,55,19,1301,108,189,.571,0,0,0,108,189,.571,.571,54,83,.651,89,190,279,28,18,88,47,143,270
2006-07,33,BOS,NBA,C,2,2,44,1,3,.333,0,0,0,1,3,.333,.333,3,4,.750,2,5,7,0,1,3,1,6,5
2007-08,34,TOT,NBA,C-PF,26,9,437,41,85,.482,0,1,.000,41,84,.488,.482,29,43,.674,32,57,89,14,7,37,21,59,111
2007-08,34,MIN,NBA,PF,10,6,214,23,45,.511,0,1,.000,23,44,.523,.511,17,25,.680,13,26,39,7,3,19,12,30,63
2007-08,34,DET,NBA,C,16,3,223,18,40,.450,0,0,0,18,40,.450,.450,12,18,.667,19,31,50,7,4,18,9,29,48
2008-09,35,PHI,NBA,C,46,0,579,34,64,.531,0,0,0,34,64,.531,.531,21,35,.600,46,82,128,9,17,47,14,77,89
2009-10,36,TOT,NBA,C,49,29,807,70,152,.461,0,0,0,70,152,.461,.461,38,50,.760,59,98,157,25,12,61,41,87,178
2009-10,36,SAS,NBA,C,21,3,183,16,36,.444,0,0,0,16,36,.444,.444,2,4,.500,15,25,40,9,3,18,16,27,34
2009-10,36,CHA,NBA,C,28,26,624,54,116,.466,0,0,0,54,116,.466,.466,36,46,.783,44,73,117,16,9,43,25,60,144
2010-11,37,LAL,NBA,C,10,0,71,1,6,.167,0,0,0,1,6,.167,.167,0,2,.000,6,7,13,3,2,5,3,7,2
