Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,23,BUF,NBA,C,50,0,708,96,222,.432,0,0,0,96,222,.432,.432,41,54,.759,64,122,186,69,7,6,0,87,233
1976-77,24,TOT,NBA,C,76,0,1492,274,563,.487,0,0,0,274,563,.487,.487,96,123,.780,114,275,389,67,11,6,0,163,644
1976-77,24,BUF,NBA,C,20,0,270,45,92,.489,0,0,0,45,92,.489,.489,26,36,.722,29,43,72,16,1,2,0,29,116
1976-77,24,NYK,NBA,C,56,0,1222,229,471,.486,0,0,0,229,471,.486,.486,70,87,.805,85,232,317,51,10,4,0,134,528
1977-78,25,ATL,NBA,C,68,0,1683,280,568,.493,0,0,0,280,568,.493,.493,116,145,.800,151,265,416,84,33,16,109,233,676
1978-79,26,ATL,NBA,C,82,0,1392,232,498,.466,0,0,0,232,498,.466,.466,106,119,.891,131,201,332,69,15,32,87,211,570
1979-80,27,ATL,NBA,C,53,0,1071,191,382,.500,0,1,.000,191,381,.501,.500,81,107,.757,70,150,220,62,36,14,64,126,463
1980-81,28,ATL,NBA,C,79,0,1564,253,519,.487,1,6,.167,252,513,.491,.488,80,108,.741,96,199,295,72,23,25,81,165,587
1981-82,29,ATL,NBA,C,73,23,1792,291,572,.509,1,3,.333,290,569,.510,.510,140,170,.824,102,234,336,129,25,24,124,202,723
1982-83,30,ATL,NBA,C,61,4,1364,198,424,.467,0,1,.000,198,423,.468,.467,108,133,.812,57,160,217,76,17,24,80,143,504
1983-84,31,WSB,NBA,C,62,5,1294,222,447,.497,1,6,.167,221,441,.501,.498,127,156,.814,64,135,199,73,14,17,70,162,572
1984-85,32,WSB,NBA,C,69,21,1547,252,534,.472,0,5,.000,252,529,.476,.472,112,135,.830,64,146,210,52,8,17,44,163,616
1985-86,33,WSB,NBA,C,56,1,863,131,285,.460,0,3,.000,131,282,.465,.460,64,79,.810,44,69,113,35,9,10,34,85,326
