Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1960-61,22,BOS,NBA,SF,68,0,1084,148,352,.420,0,0,0,148,352,.420,.420,67,100,.670,0,0,385,44,0,0,0,131,363
1961-62,23,BOS,NBA,SF,80,0,2325,350,804,.435,0,0,0,350,804,.435,.435,197,263,.749,0,0,762,74,0,0,0,279,897
1962-63,24,BOS,NBA,SF,80,0,2148,339,744,.456,0,0,0,339,744,.456,.456,186,252,.738,0,0,576,95,0,0,0,262,864
1963-64,25,BOS,NBA,PF,80,0,2370,349,836,.417,0,0,0,349,836,.417,.417,213,280,.761,0,0,667,102,0,0,0,277,911
1964-65,26,BOS,NBA,PF,80,0,2459,374,871,.429,0,0,0,374,871,.429,.429,193,259,.745,0,0,661,92,0,0,0,318,941
1965-66,27,BOS,NBA,PF,72,0,1896,349,816,.428,0,0,0,349,816,.428,.428,211,276,.764,0,0,508,90,0,0,0,317,909
1966-67,28,BOS,NBA,SF,81,0,1926,323,755,.428,0,0,0,323,755,.428,.428,178,218,.817,0,0,439,91,0,0,0,304,824
1967-68,29,BOS,NBA,SF,78,0,1981,296,691,.428,0,0,0,296,691,.428,.428,200,255,.784,0,0,454,100,0,0,0,300,792
1968-69,30,BOS,NBA,SF,82,0,2184,364,847,.430,0,0,0,364,847,.430,.430,187,255,.733,0,0,574,110,0,0,0,293,915
1969-70,31,BOS,NBA,SF,57,0,1616,246,555,.443,0,0,0,246,555,.443,.443,161,183,.880,0,0,314,92,0,0,0,199,653
1970-71,32,BOS,NBA,SF,17,0,121,16,44,.364,0,0,0,16,44,.364,.364,7,8,.875,0,0,17,11,0,0,0,25,39
1971-72,33,BOS,NBA,SF,82,0,1631,215,524,.410,0,0,0,215,524,.410,.410,111,136,.816,0,0,353,98,0,0,0,257,541
1972-73,34,BOS,NBA,SF,59,0,423,47,149,.315,0,0,0,47,149,.315,.315,23,35,.657,0,0,88,27,0,0,0,82,117
