Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,22,DET,NBA,SG,79,0,2041,312,834,.374,0,0,0,312,834,.374,.374,209,290,.721,0,0,309,205,0,0,0,251,833
1966-67,23,DET,NBA,SG,79,0,2134,347,887,.391,0,0,0,347,887,.391,.391,272,347,.784,0,0,341,193,0,0,0,241,966
1967-68,24,TOT,NBA,SG-SF,77,0,1514,211,545,.387,0,0,0,211,545,.387,.387,188,252,.746,0,0,225,155,0,0,0,202,610
1967-68,24,DET,NBA,SG,50,0,832,114,307,.371,0,0,0,114,307,.371,.371,101,136,.743,0,0,132,79,0,0,0,119,329
1967-68,24,CIN,NBA,SF,27,0,682,97,238,.408,0,0,0,97,238,.408,.408,87,116,.750,0,0,93,76,0,0,0,83,281
1968-69,25,CIN,NBA,SG,77,0,3059,547,1233,.444,0,0,0,547,1233,.444,.444,398,533,.747,0,0,356,208,0,0,0,300,1492
1969-70,26,CIN,NBA,SF,71,0,2544,620,1376,.451,0,0,0,620,1376,.451,.451,381,492,.774,0,0,463,155,0,0,0,247,1621
1970-71,27,CIN,NBA,SF,82,0,3146,749,1642,.456,0,0,0,749,1642,.456,.456,377,523,.721,0,0,499,181,0,0,0,294,1875
1971-72,28,CIN,NBA,SF,73,0,2598,550,1205,.456,0,0,0,550,1205,.456,.456,299,396,.755,0,0,350,198,0,0,0,241,1399
1972-73,29,TOT,NBA,SF,79,0,2311,445,1043,.427,0,0,0,445,1043,.427,.427,250,308,.812,0,0,358,152,0,0,0,224,1140
1972-73,29,KCO,NBA,SF,49,0,1282,250,547,.457,0,0,0,250,547,.457,.457,110,140,.786,0,0,173,90,0,0,0,123,610
1972-73,29,PHI,NBA,SF,30,0,1029,195,496,.393,0,0,0,195,496,.393,.393,140,168,.833,0,0,185,62,0,0,0,101,530
1973-74,30,PHI,NBA,SF,78,0,3041,614,1433,.428,0,0,0,614,1433,.428,.428,298,350,.851,88,305,393,202,62,3,0,300,1526
1974-75,31,TOT,NBA,SF,82,0,2843,593,1385,.428,0,0,0,593,1385,.428,.428,322,424,.759,77,201,278,223,91,3,0,257,1508
1974-75,31,PHI,NBA,SF,9,0,273,49,116,.422,0,0,0,49,116,.422,.422,28,41,.683,7,22,29,16,13,0,0,26,126
1974-75,31,ATL,NBA,SF,73,0,2570,544,1269,.429,0,0,0,544,1269,.429,.429,294,383,.768,70,179,249,207,78,3,0,231,1382
1975-76,32,ATL,NBA,SF,75,0,2026,346,785,.441,0,0,0,346,785,.441,.441,126,166,.759,35,151,186,146,57,7,0,202,818
1976-77,33,PHO,NBA,SF,77,0,1425,171,395,.433,0,0,0,171,395,.433,.433,102,145,.703,47,137,184,67,20,3,0,163,444
