Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,23,SAS,NBA,PF,35,0,161,27,60,.450,0,0,0,27,60,.450,.450,28,45,.622,23,35,58,4,4,9,13,26,82
1991-92,24,TOT,NBA,PF,18,0,90,10,25,.400,0,0,0,10,25,.400,.400,9,15,.600,7,18,25,0,1,1,9,21,29
1991-92,24,SAS,NBA,PF,1,0,9,1,5,.200,0,0,0,1,5,.200,.200,0,0,0,0,0,0,0,0,0,0,2,2
1991-92,24,CHH,NBA,PF,3,0,13,0,3,.000,0,0,0,0,3,.000,.000,1,2,.500,1,3,4,0,1,0,4,2,1
1991-92,24,BOS,NBA,PF,7,0,46,4,9,.444,0,0,0,4,9,.444,.444,2,4,.500,2,7,9,0,0,1,2,7,10
1991-92,24,GSW,NBA,PF,7,0,22,5,8,.625,0,0,0,5,8,.625,.625,6,9,.667,4,8,12,0,0,0,3,10,16
1992-93,25,Did Not Play(other pro leagueSpain)
1993-94,26,Did Not Play(other pro leagueSpain)
1994-95,27,LAC,NBA,C,80,50,2127,282,601,.469,0,3,.000,282,598,.472,.469,177,235,.753,160,295,455,67,48,58,118,253,741
1995-96,28,TOT,NBA,PF,54,28,1463,214,432,.495,0,3,.000,214,429,.499,.495,111,157,.707,127,225,352,30,28,20,73,140,539
1995-96,28,TOR,NBA,PF,24,20,659,100,196,.510,0,0,0,100,196,.510,.510,43,65,.662,52,114,166,18,13,9,35,67,243
1995-96,28,PHI,NBA,PF,30,8,804,114,236,.483,0,3,.000,114,233,.489,.483,68,92,.739,75,111,186,12,15,11,38,73,296
1996-97,29,NJN,NBA,PF,79,49,1954,219,452,.485,0,1,.000,219,451,.486,.485,130,206,.631,222,295,517,23,38,50,91,217,568
1997-98,30,VAN,NBA,C,61,13,894,148,309,.479,0,0,0,148,309,.479,.479,100,137,.730,80,152,232,21,25,24,60,123,396
1998-99,31,VAN,NBA,PF,43,35,1143,189,388,.487,0,2,.000,189,386,.490,.487,103,155,.665,83,174,257,23,26,39,64,108,481
1999-00,32,HOU,NBA,PF,10,0,109,16,36,.444,0,0,0,16,36,.444,.444,14,16,.875,7,20,27,3,2,5,9,13,46
2000-01,33,VAN,NBA,PF,52,20,823,92,199,.462,0,0,0,92,199,.462,.462,49,70,.700,75,135,210,9,10,28,48,122,233
2001-02,34,MEM,NBA,PF,73,31,1247,159,349,.456,1,1,1.000,158,348,.454,.457,84,117,.718,100,224,324,26,30,31,65,174,403
2002-03,35,UTA,NBA,C,58,1,792,104,232,.448,0,0,0,104,232,.448,.448,65,84,.774,59,97,156,17,17,19,50,144,273
2003-04,36,SAC,NBA,PF,59,0,789,104,219,.475,0,1,.000,104,218,.477,.475,43,63,.683,57,131,188,29,14,18,45,144,251
2004-05,37,SAS,NBA,PF,61,6,699,74,182,.407,0,0,0,74,182,.407,.407,48,63,.762,54,109,163,14,18,20,40,122,196
