Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,22,ATL,NBA,C,80,0,1795,253,520,.487,0,0,0,253,520,.487,.487,104,148,.703,179,373,552,79,57,218,121,326,610
1978-79,23,ATL,NBA,C,81,0,1900,297,555,.535,0,0,0,297,555,.535,.535,89,141,.631,219,369,588,49,46,254,87,328,683
1979-80,24,ATL,NBA,C,82,0,2123,287,514,.558,0,0,0,287,514,.558,.558,157,220,.714,283,491,774,76,54,244,99,322,731
1980-81,25,ATL,NBA,C,40,0,1044,116,210,.552,0,1,.000,116,209,.555,.552,46,57,.807,102,184,286,35,29,117,57,151,278
1981-82,26,ATL,NBA,C,79,39,2018,202,346,.584,0,0,0,202,346,.584,.584,79,129,.612,168,443,611,59,35,224,79,285,483
1982-83,27,ATL,NBA,C,80,80,2472,261,512,.510,0,1,.000,261,511,.511,.510,98,135,.726,210,533,743,75,49,343,95,294,620
1983-84,28,ATL,NBA,C,77,76,2351,274,529,.518,0,0,0,274,529,.518,.518,118,190,.621,200,393,593,62,35,277,101,297,666
1984-85,29,ATL,NBA,C,70,60,1750,186,339,.549,0,0,0,186,339,.549,.549,67,93,.720,113,329,442,52,35,167,80,213,439
1985-86,30,ATL,NBA,C,74,61,1781,173,347,.499,0,1,.000,173,346,.500,.499,69,90,.767,131,327,458,41,38,167,91,239,415
1986-87,31,ATL,NBA,C,75,58,1764,171,313,.546,0,0,0,171,313,.546,.546,63,87,.724,155,333,488,22,43,140,61,240,405
1987-88,32,ATL,NBA,C,76,59,1765,133,260,.512,0,0,0,133,260,.512,.512,70,80,.875,142,317,459,20,31,132,51,229,336
1988-89,33,CLE,NBA,C,60,2,583,62,138,.449,0,1,.000,62,137,.453,.449,12,19,.632,38,101,139,19,11,38,22,89,136
1989-90,34,CLE,NBA,C,48,19,674,57,125,.456,0,1,.000,57,124,.460,.456,11,16,.688,58,95,153,24,13,53,35,83,125
1990-91,35,DET,NBA,C,37,0,202,14,33,.424,0,0,0,14,33,.424,.424,8,14,.571,13,29,42,4,2,20,15,35,36
1991-92,36,HOU,NBA,C,59,5,697,46,86,.535,0,0,0,46,86,.535,.535,26,30,.867,61,110,171,15,14,62,18,85,118
1992-93,37,HOU,NBA,C,42,0,247,11,41,.268,0,2,.000,11,39,.282,.268,9,12,.750,12,48,60,10,6,15,9,43,31
1993-94,38,ORL,NBA,C,45,1,384,29,53,.547,0,0,0,29,53,.547,.547,18,30,.600,33,63,96,9,7,35,13,55,76
1994-95,39,ORL,NBA,C,51,3,478,20,42,.476,0,0,0,20,42,.476,.476,21,31,.677,31,64,95,9,7,36,23,63,61
