Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,21,CLE,NBA,C,80,3,1238,186,423,.440,1,2,.500,185,421,.439,.441,92,125,.736,105,112,217,40,26,34,109,216,465
1997-98,22,CLE,NBA,C,80,0,1412,234,488,.480,0,1,.000,234,487,.480,.480,102,144,.708,110,203,313,57,27,28,132,198,570
1998-99,23,TOT,NBA,C,50,44,1394,204,412,.495,0,1,.000,204,411,.496,.495,91,155,.587,114,218,332,75,35,36,100,169,499
1998-99,23,CLE,NBA,C,17,12,467,55,126,.437,0,1,.000,55,125,.440,.437,33,49,.673,23,71,94,16,11,16,28,53,143
1998-99,23,BOS,NBA,C,33,32,927,149,286,.521,0,0,0,149,286,.521,.521,58,106,.547,91,147,238,59,24,20,72,116,356
1999-00,24,BOS,NBA,C,79,72,1797,307,615,.499,0,1,.000,307,614,.500,.499,109,160,.681,182,317,499,77,41,29,145,239,723
2000-01,25,BOS,NBA,C,82,7,1901,248,521,.476,0,0,0,248,521,.476,.476,115,158,.728,206,289,495,64,52,23,105,228,611
2001-02,26,BOS,NBA,C,79,9,1343,137,301,.455,0,0,0,137,301,.455,.455,89,120,.742,167,180,347,30,37,18,63,174,363
2002-03,27,SEA,NBA,C,26,2,403,41,93,.441,0,0,0,41,93,.441,.441,22,29,.759,25,64,89,4,9,8,25,46,104
2003-04,28,SEA,NBA,C,65,39,1419,200,409,.489,0,0,0,200,409,.489,.489,59,92,.641,101,188,289,53,22,28,77,161,459
2004-05,29,SEA,NBA,C,33,1,335,45,87,.517,0,1,.000,45,86,.523,.517,27,31,.871,30,48,78,9,7,3,12,53,117
2005-06,30,TOT,NBA,C,33,12,353,37,71,.521,0,0,0,37,71,.521,.521,10,17,.588,27,37,64,9,2,2,16,50,84
2005-06,30,SEA,NBA,C,24,12,321,32,64,.500,0,0,0,32,64,.500,.500,10,17,.588,26,36,62,7,2,2,14,44,74
2005-06,30,SAC,NBA,C,9,0,32,5,7,.714,0,0,0,5,7,.714,.714,0,0,0,1,1,2,2,0,0,2,6,10
2006-07,31,SAC,NBA,C,3,0,13,0,4,.000,0,0,0,0,4,.000,.000,0,0,0,0,2,2,0,0,0,2,3,0
