Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,22,BAL,NBA,SG,77,0,1250,154,411,.375,0,0,0,154,411,.375,.375,99,136,.728,0,0,140,200,0,0,0,196,407
1965-66,23,PHI,NBA,PG,80,0,2196,296,799,.370,0,0,0,296,799,.370,.370,128,172,.744,0,0,169,273,0,0,0,250,720
1966-67,24,PHI,NBA,PG,81,0,2249,423,982,.431,0,0,0,423,982,.431,.431,223,266,.838,0,0,265,303,0,0,0,246,1069
1967-68,25,PHI,NBA,PG,77,0,2058,413,1040,.397,0,0,0,413,1040,.397,.397,159,202,.787,0,0,219,245,0,0,0,225,985
1968-69,26,PHI,NBA,PG,81,0,2340,432,1005,.430,0,0,0,432,1005,.430,.430,207,256,.809,0,0,251,292,0,0,0,280,1071
1969-70,27,PHI,NBA,PG,78,0,1740,366,851,.430,0,0,0,366,851,.430,.430,190,226,.841,0,0,173,276,0,0,0,210,922
1970-71,28,PHI,NBA,SG,41,0,962,168,418,.402,0,0,0,168,418,.402,.402,79,101,.782,0,0,64,128,0,0,0,110,415
1971-72,29,MIL,NBA,PG,48,0,1030,144,354,.407,0,0,0,144,354,.407,.407,74,90,.822,0,0,75,141,0,0,0,112,362
1972-73,30,MIL,NBA,SG,27,0,419,59,145,.407,0,0,0,59,145,.407,.407,16,18,.889,0,0,29,56,0,0,0,39,134
1973-74,31,Did Not Play
1974-75,32,UTS,ABA,SG,71,0,1339,212,524,.405,6,25,.240,206,499,.413,.410,102,124,.823,15,62,77,152,42,3,76,147,532
1975-76,33,TOT,NBA,PG,17,0,176,23,49,.469,0,0,0,23,49,.469,.469,9,13,.692,0,9,9,33,6,0,0,27,55
1975-76,33,DET,NBA,PG,1,0,19,4,11,.364,0,0,0,4,11,.364,.364,0,0,0,0,0,0,2,2,0,0,2,8
1975-76,33,PHI,NBA,PG,16,0,157,19,38,.500,0,0,0,19,38,.500,.500,9,13,.692,0,9,9,31,4,0,0,25,47
