Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,CIN,NBA,C,64,0,909,131,333,.393,0,0,0,131,333,.393,.393,52,123,.423,0,0,329,19,0,0,0,161,314
1967-68,23,CIN,NBA,C,66,0,918,188,404,.465,0,0,0,188,404,.465,.465,76,152,.500,0,0,281,34,0,0,0,168,452
1968-69,24,CIN,NBA,C,82,0,1334,245,534,.459,0,0,0,245,534,.459,.459,134,207,.647,0,0,403,47,0,0,0,191,624
1969-70,25,CHI,NBA,C,72,0,1407,270,648,.417,0,0,0,270,648,.417,.417,145,219,.662,0,0,455,68,0,0,0,184,685
1970-71,26,CLE,NBA,C,82,0,2425,565,1241,.455,0,0,0,565,1241,.455,.455,325,473,.687,0,0,713,83,0,0,0,295,1455
1971-72,27,CLE,NBA,C,82,0,2185,412,1006,.410,0,0,0,412,1006,.410,.410,196,291,.674,0,0,711,76,0,0,0,245,1020
1972-73,28,TOT,NBA,C,57,0,474,77,202,.381,0,0,0,77,202,.381,.381,26,46,.565,0,0,151,31,0,0,0,77,180
1972-73,28,CLE,NBA,C,12,0,110,14,47,.298,0,0,0,14,47,.298,.298,8,12,.667,0,0,38,7,0,0,0,21,36
1972-73,28,PHO,NBA,C,45,0,364,63,155,.406,0,0,0,63,155,.406,.406,18,34,.529,0,0,113,24,0,0,0,56,144
1973-74,29,CAP,NBA,C,39,0,400,71,151,.470,0,0,0,71,151,.470,.470,26,43,.605,63,73,136,14,9,20,0,74,168
1974-75,30,TOT,NBA,C,45,0,247,42,93,.452,0,0,0,42,93,.452,.452,16,27,.593,18,45,63,12,7,5,0,51,100
1974-75,30,PHI,NBA,C,4,0,33,5,9,.556,0,0,0,5,9,.556,.556,2,4,.500,4,4,8,1,0,0,0,8,12
1974-75,30,MIL,NBA,C,41,0,214,37,84,.440,0,0,0,37,84,.440,.440,14,23,.609,14,41,55,11,7,5,0,43,88
1975-76,31,LAL,NBA,C,1,0,7,1,2,.500,0,0,0,1,2,.500,.500,2,4,.500,0,1,1,1,0,0,0,2,4
