Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,22,SAS,NBA,SF,81,79,2738,640,1285,.498,4,21,.190,636,1264,.503,.500,224,289,.775,152,265,417,372,150,62,261,295,1508
1989-90,23,SAS,NBA,SG,82,81,2788,532,1082,.492,7,26,.269,525,1056,.497,.495,217,290,.748,115,257,372,364,111,58,198,252,1288
1990-91,24,SAS,NBA,SG,75,75,2592,453,991,.457,7,35,.200,446,956,.467,.461,170,213,.798,68,283,351,358,79,46,167,226,1083
1991-92,25,SAS,NBA,SG,57,55,1889,312,685,.455,13,56,.232,299,629,.475,.465,107,138,.775,62,238,300,302,54,51,140,151,744
1992-93,26,SAS,NBA,SG,38,7,560,80,186,.430,1,8,.125,79,178,.444,.433,22,28,.786,7,50,57,79,14,6,44,52,183
1993-94,27,SAS,NBA,SG,80,79,2488,394,837,.471,22,68,.324,372,769,.484,.484,145,171,.848,68,174,242,347,71,46,153,187,955
1994-95,28,SAS,NBA,SG,38,11,556,76,162,.469,3,19,.158,73,143,.510,.478,30,41,.732,15,40,55,52,26,10,38,71,185
1995-96,29,TOT,NBA,SG,76,44,2060,288,660,.436,34,120,.283,254,540,.470,.462,132,163,.810,48,198,246,197,75,59,143,230,742
1995-96,29,TOR,NBA,SG,49,42,1564,232,527,.440,29,95,.305,203,432,.470,.468,113,132,.856,35,151,186,149,58,51,119,171,606
1995-96,29,NYK,NBA,SG,27,2,496,56,133,.421,5,25,.200,51,108,.472,.440,19,31,.613,13,47,60,48,17,8,24,59,136
1996-97,30,MIA,NBA,SG,28,1,303,29,64,.453,8,19,.421,21,45,.467,.516,17,20,.850,15,27,42,34,14,4,19,36,83
