Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1957-58,23,PHW,NBA,PF,71,0,2377,389,1082,.360,0,0,0,389,1082,.360,.360,134,218,.615,0,0,729,58,0,0,0,245,912
1958-59,24,PHW,NBA,C,72,0,2743,501,1380,.363,0,0,0,501,1380,.363,.363,110,176,.625,0,0,826,71,0,0,0,276,1112
1959-60,25,PHW,NBA,PF,71,0,1848,325,974,.334,0,0,0,325,974,.334,.334,55,103,.534,0,0,447,112,0,0,0,203,705
1960-61,26,STL,NBA,PF,69,0,1491,230,768,.299,0,0,0,230,768,.299,.299,56,100,.560,0,0,491,74,0,0,0,197,516
1961-62,27,TOT,NBA,0,63,0,1765,298,869,.343,0,0,0,298,869,.343,.343,79,123,.642,0,0,536,90,0,0,0,179,675
1961-62,27,STL,NBA,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961-62,27,CHP,NBA,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962-63,28,TOT,NBA,PF,77,0,2034,366,966,.379,0,0,0,366,966,.379,.379,107,163,.656,0,0,447,78,0,0,0,230,839
1962-63,28,CHZ,NBA,0,54,0,1664,304,792,.384,0,0,0,304,792,.384,.384,89,130,.685,0,0,367,66,0,0,0,171,697
1962-63,28,STL,NBA,PF,23,0,370,62,174,.356,0,0,0,62,174,.356,.356,18,33,.545,0,0,80,12,0,0,0,59,142
1963-64,29,Did Not Play(retired)
1964-65,30,Did Not Play(retired)
1965-66,31,BOS,NBA,PF,39,0,530,80,249,.321,0,0,0,80,249,.321,.321,11,22,.500,0,0,142,15,0,0,0,94,171
