Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,19,IND,NBA,PF,50,0,854,121,264,.458,8,34,.235,113,230,.491,.473,78,111,.703,47,112,159,38,25,9,65,130,328
2000-01,20,IND,NBA,PF,78,38,1892,241,543,.444,1,7,.143,240,536,.448,.445,103,157,.656,119,262,381,130,63,18,148,223,586
2001-02,21,IND,NBA,PF,44,1,1313,230,484,.475,1,3,.333,229,481,.476,.476,115,144,.799,96,180,276,54,41,21,78,166,576
2002-03,22,IND,NBA,SF,82,37,2467,389,896,.434,13,46,.283,376,850,.442,.441,211,274,.770,159,352,511,125,71,33,163,280,1002
2003-04,23,IND,NBA,PF,79,15,2441,421,909,.463,21,77,.273,400,832,.481,.475,185,252,.734,163,345,508,131,80,22,163,250,1048
2004-05,24,ATL,NBA,SF,66,66,2550,453,986,.459,16,74,.216,437,912,.479,.468,236,351,.672,145,316,461,208,85,16,204,249,1158
2005-06,25,ATL,NBA,PF,76,76,2782,551,1220,.452,66,191,.346,485,1029,.471,.479,243,350,.694,132,391,523,238,85,14,195,301,1411
2006-07,26,TOT,NBA,PF,78,78,2563,495,1083,.457,127,293,.433,368,790,.466,.516,168,242,.694,151,345,496,149,65,24,169,269,1285
2007-08,27,GSW,NBA,C,81,59,2190,401,923,.434,153,408,.375,248,515,.482,.517,147,190,.774,107,332,439,132,74,16,90,266,1102
2008-09,28,TOT,NBA,PF,73,56,2546,532,1212,.439,171,470,.364,361,742,.487,.509,234,295,.793,99,356,455,102,88,22,161,227,1469
2009-10,29,NYK,NBA,PF,72,15,2195,448,1030,.435,140,409,.342,308,621,.496,.503,240,317,.757,88,317,405,110,62,26,132,209,1276
2010-11,30,DEN,NBA,PF,73,3,1665,281,675,.416,117,328,.357,164,347,.473,.503,86,117,.735,76,256,332,101,39,10,106,202,765
