Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,20,PHO,NBA,PF,82,71,2570,392,830,.472,2,10,.200,390,820,.476,.473,320,484,.661,250,471,721,78,62,87,189,269,1106
2003-04,21,PHO,NBA,PF,55,53,2025,411,865,.475,1,5,.200,410,860,.477,.476,310,435,.713,157,339,496,78,64,89,177,188,1133
2004-05,22,PHO,NBA,C,80,80,2889,747,1336,.559,3,16,.188,744,1320,.564,.560,583,795,.733,219,494,713,131,77,130,189,278,2080
2006-07,24,PHO,NBA,C,82,78,2689,607,1055,.575,0,3,.000,607,1052,.577,.575,457,585,.781,222,564,786,84,78,110,232,295,1671
2007-08,25,PHO,NBA,C,79,79,2677,714,1211,.590,5,31,.161,709,1180,.601,.592,556,691,.805,178,541,719,118,64,163,174,294,1989
2008-09,26,PHO,NBA,PF,53,53,1948,404,749,.539,3,7,.429,401,742,.540,.541,323,387,.835,116,314,430,104,49,57,150,163,1134
2009-10,27,PHO,NBA,PF,82,82,2838,704,1264,.557,1,6,.167,703,1258,.559,.557,487,632,.771,230,502,732,82,52,83,213,281,1896
2010-11,28,NYK,NBA,C,78,78,2870,744,1482,.502,10,23,.435,734,1459,.503,.505,473,597,.792,198,438,636,202,71,150,250,274,1971
2013-14,31,NYK,NBA,C,65,21,1466,311,558,.557,0,0,0,311,558,.557,.557,150,203,.739,112,208,320,34,23,37,91,159,772
2014-15,32,TOT,NBA,PF,59,15,1245,273,490,.557,0,4,.000,273,486,.562,.557,134,186,.720,110,219,329,45,29,38,78,161,680
