Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,25,NYK,NBA,PF,82,0,2198,203,399,.509,0,0,0,203,399,.509,.509,167,260,.642,216,357,573,106,46,20,101,229,573
1992-93,26,NYK,NBA,PF,81,0,2482,316,629,.502,0,0,0,316,629,.502,.502,199,292,.682,231,409,640,170,43,19,137,240,831
1993-94,27,NYK,NBA,PF,73,12,1903,206,433,.476,0,1,.000,206,432,.477,.476,116,161,.720,158,269,427,151,31,9,107,190,528
1994-95,28,NYK,NBA,PF,77,11,2496,287,507,.566,0,1,.000,287,506,.567,.566,191,298,.641,182,468,650,240,69,21,123,253,765
1995-96,29,NYK,NBA,SF,82,82,3457,449,798,.563,0,0,0,449,798,.563,.563,298,414,.720,220,544,764,363,69,34,211,246,1196
1996-97,30,CHH,NBA,PF,73,73,3143,433,825,.525,1,3,.333,432,822,.526,.525,319,428,.745,186,643,829,414,76,33,165,202,1186
1997-98,31,CHH,NBA,PF,81,80,3148,389,764,.509,0,4,.000,389,760,.512,.509,261,402,.649,177,649,826,342,68,18,146,182,1039
1999-00,33,CHH,NBA,SF,82,81,3133,317,661,.480,0,1,.000,317,660,.480,.480,314,421,.746,145,554,699,367,74,29,160,220,948
2000-01,34,MIA,NBA,PF,80,80,3254,460,954,.482,0,0,0,460,954,.482,.482,370,474,.781,169,601,770,248,80,25,179,231,1290
2001-02,35,MIL,NBA,PF,82,82,3143,316,626,.505,1,1,1.000,315,625,.504,.506,154,221,.697,124,522,646,346,57,22,130,187,787
2002-03,36,MIL,NBA,C,65,58,2119,191,393,.486,0,1,.000,191,392,.487,.486,84,117,.718,90,326,416,209,32,12,79,147,466
