Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,24,LAC,NBA,SG,79,44,1898,283,597,.474,123,296,.416,160,301,.532,.577,111,137,.810,38,130,168,230,95,22,120,196,800
1996-97,25,LAC,NBA,SG,59,0,1094,155,379,.409,56,173,.324,99,206,.481,.483,76,93,.817,30,80,110,154,51,15,76,88,442
1997-98,26,TOT,NBA,SG,58,36,1600,213,506,.421,90,229,.393,123,277,.444,.510,115,134,.858,29,142,171,153,64,27,104,118,631
1999-00,28,SEA,NBA,SG,80,74,2726,327,707,.463,164,399,.411,163,308,.529,.579,127,157,.809,50,322,372,291,103,31,142,228,945
2000-01,29,SEA,NBA,SG,67,20,1778,198,401,.494,109,229,.476,89,172,.517,.630,84,103,.816,33,178,211,225,80,14,86,126,589
2001-02,30,SEA,NBA,SG,81,81,3040,401,790,.508,164,387,.424,237,403,.588,.611,198,234,.846,58,383,441,426,147,37,165,182,1164
2002-03,31,SEA,NBA,SG,75,68,2480,264,577,.458,118,293,.403,146,284,.514,.560,128,161,.795,48,253,301,384,113,15,142,199,774
2003-04,32,SEA,NBA,SG,59,53,1803,215,427,.504,114,252,.452,101,175,.577,.637,91,110,.827,21,183,204,342,85,16,139,121,635
2004-05,33,SAS,NBA,SG,81,8,1742,194,459,.423,100,280,.357,94,179,.525,.532,113,135,.837,29,161,190,178,39,20,64,123,601
2005-06,34,SAS,NBA,SG,74,5,1259,156,345,.452,80,202,.396,76,143,.531,.568,39,59,.661,29,130,159,123,39,27,52,99,431
2006-07,35,SAS,NBA,SG,75,28,1631,202,425,.475,128,287,.446,74,138,.536,.626,103,117,.880,17,143,160,138,56,12,61,88,635
2008-09,37,HOU,NBA,SG,56,1,857,70,172,.407,49,131,.374,21,41,.512,.549,19,20,.950,17,77,94,78,24,3,48,45,208
