Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,22,LAL,NBA,SG,74,49,1637,334,690,.484,8,34,.235,326,656,.497,.490,112,139,.806,50,114,164,177,81,19,116,174,788
1984-85,23,LAL,NBA,SG,81,65,2305,541,1003,.539,26,60,.433,515,943,.546,.552,187,228,.820,57,153,210,244,100,17,138,197,1295
1985-86,24,LAL,NBA,SG,76,62,2190,507,989,.513,22,61,.361,485,928,.523,.524,138,176,.784,55,134,189,164,85,15,110,167,1174
1986-87,25,LAL,NBA,SG,82,82,2729,554,1134,.489,65,149,.436,489,985,.496,.517,224,251,.892,63,223,286,281,125,18,144,163,1397
1987-88,26,LAL,NBA,SG,81,81,3048,710,1348,.527,62,179,.346,648,1169,.554,.550,272,317,.858,76,257,333,335,155,27,161,204,1754
1988-89,27,LAL,NBA,SG,74,73,2605,588,1198,.491,77,193,.399,511,1005,.508,.523,195,226,.863,72,230,302,231,114,27,157,181,1448
1989-90,28,LAL,NBA,SG,77,77,2593,472,1005,.470,93,220,.423,379,785,.483,.516,160,209,.766,51,191,242,274,77,31,122,180,1197
1990-91,29,LAL,NBA,SG,82,82,2630,501,1051,.477,71,219,.324,430,832,.517,.510,118,148,.797,54,192,246,177,95,21,85,146,1191
1991-92,30,LAL,NBA,SG,82,82,2679,460,1005,.458,54,157,.344,406,848,.479,.485,244,291,.838,74,236,310,226,105,28,119,140,1218
1992-93,31,LAL,NBA,SG,58,53,1677,296,659,.449,44,135,.326,252,524,.481,.483,156,184,.848,27,107,134,157,55,13,70,98,792
1993-94,32,IND,NBA,SG,67,2,1197,256,548,.467,27,74,.365,229,474,.483,.492,157,195,.805,19,91,110,133,62,9,103,80,696
1994-95,33,IND,NBA,PG,80,1,1528,265,583,.455,79,203,.389,186,380,.489,.522,193,227,.850,18,133,151,108,61,13,119,123,802
1995-96,34,VAN,NBA,SG,80,0,1894,271,676,.401,74,221,.335,197,455,.433,.456,203,243,.835,40,152,192,123,63,22,100,126,819
1996-97,35,LAL,NBA,SG,79,8,1440,163,379,.430,73,188,.388,90,191,.471,.526,127,151,.841,21,97,118,99,46,16,53,72,526
