Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22,SAC,NBA,SF,53,3,609,125,268,.466,0,3,.000,125,265,.472,.466,47,84,.560,56,58,114,23,11,9,76,115,297
1996-97,23,SAC,NBA,SF,79,31,1992,371,745,.498,0,3,.000,371,742,.500,.498,173,251,.689,139,187,326,124,60,49,157,263,915
1997-98,24,SAC,NBA,SF,79,75,2819,561,1134,.495,0,9,.000,561,1125,.499,.495,279,443,.630,162,284,446,230,76,48,199,252,1401
1999-00,26,SAC,NBA,SF,76,76,1707,311,622,.500,0,0,0,311,622,.500,.500,163,212,.769,122,168,290,82,38,19,110,192,785
2000-01,27,TOT,NBA,SF,69,40,1686,325,647,.502,0,2,.000,325,645,.504,.502,151,237,.637,110,211,321,61,50,21,110,185,801
2001-02,28,DET,NBA,SF,78,7,1701,411,806,.510,1,5,.200,410,801,.512,.511,240,298,.805,117,202,319,94,49,26,137,226,1063
2002-03,29,DET,NBA,SF,82,1,2061,374,826,.453,2,11,.182,372,815,.456,.454,237,300,.790,147,211,358,104,44,27,126,238,987
2003-04,30,DET,NBA,PF,79,0,1574,304,602,.505,0,0,0,304,602,.505,.505,144,197,.731,88,168,256,57,30,20,113,204,752
2004-05,31,TOT,NBA,PF,72,9,1527,273,584,.467,0,2,.000,273,582,.469,.467,195,244,.799,104,155,259,78,38,15,86,218,741
2006-07,33,SAC,NBA,PF,68,1,1337,236,463,.510,0,2,.000,236,461,.512,.510,148,207,.715,63,158,221,39,29,15,97,183,620
