Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,23,LAC,NBA,PF,71,42,2269,440,826,.533,0,5,.000,440,821,.536,.533,274,370,.741,142,280,422,187,91,39,188,261,1154
1990-91,24,LAC,NBA,PF,73,47,2197,470,905,.519,0,3,.000,470,902,.521,.519,219,306,.716,169,257,426,196,117,62,188,281,1159
1991-92,25,LAC,NBA,PF,82,82,2904,650,1199,.542,0,5,.000,650,1194,.544,.542,279,385,.725,229,335,564,285,135,122,210,293,1579
1992-93,26,LAC,NBA,PF,79,77,2761,702,1379,.509,8,30,.267,694,1349,.514,.512,388,484,.802,198,322,520,207,108,101,230,323,1800
1993-94,27,TOT,NBA,PF,68,66,2520,586,1201,.488,3,17,.176,583,1184,.492,.489,228,341,.669,131,334,465,261,99,82,233,260,1403
1994-95,28,PHO,NBA,PF,46,19,1510,340,622,.547,6,21,.286,334,601,.556,.551,136,202,.673,97,179,276,154,41,57,121,176,822
1996-97,30,PHO,NBA,PF,77,17,2134,426,795,.536,7,36,.194,419,759,.552,.540,181,251,.721,137,332,469,173,81,74,161,268,1040
1997-98,31,PHO,NBA,PF,70,11,1794,390,756,.516,0,7,.000,390,749,.521,.516,167,226,.739,110,282,392,139,71,46,100,201,947
1999-00,33,MIL,NBA,PF,72,0,1217,149,339,.440,1,4,.250,148,335,.442,.441,34,52,.654,50,158,208,73,62,29,55,183,333
2000-01,34,UTA,NBA,PF,82,0,1305,247,500,.494,7,28,.250,240,472,.508,.501,102,140,.729,66,148,214,92,47,29,96,219,603
