Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,24,IND,NBA,C,82,0,2314,528,1032,.512,0,1,.000,528,1031,.512,.512,231,339,.681,179,399,578,127,55,104,131,324,1287
1980-81,25,IND,NBA,C,81,0,2375,511,1004,.509,0,3,.000,511,1001,.510,.509,244,347,.703,191,380,571,212,32,128,164,304,1266
1981-82,26,CLE,NBA,C,77,75,2539,528,1033,.511,0,4,.000,528,1029,.513,.511,232,339,.684,189,392,581,123,24,117,162,347,1288
1983-84,28,PHO,NBA,C,72,67,1897,438,817,.536,0,1,.000,438,816,.537,.536,183,254,.720,108,240,348,184,23,30,140,254,1059
1984-85,29,PHO,NBA,C,70,58,1787,384,766,.501,0,3,.000,384,763,.503,.501,276,370,.746,95,292,387,153,26,52,162,237,1044
1985-86,30,PHO,NBA,C,52,51,1314,318,587,.542,0,0,0,318,587,.542,.542,212,302,.702,79,222,301,74,23,29,128,200,848
1987-88,32,TOT,NBA,C,69,44,1705,302,643,.470,0,1,.000,302,642,.470,.470,210,321,.654,119,293,412,78,16,37,130,216,814
1988-89,33,DET,NBA,C,76,1,1254,211,422,.500,0,2,.000,211,420,.502,.500,133,194,.686,68,163,231,49,11,31,72,226,555
1989-90,34,DET,NBA,C,82,70,2283,462,928,.498,0,3,.000,462,925,.499,.498,265,354,.749,112,233,345,63,23,37,133,295,1189
1990-91,35,DET,NBA,C,72,70,1903,383,792,.484,1,2,.500,382,790,.484,.484,215,295,.729,91,186,277,65,12,30,126,249,982
1991-92,36,LAC,NBA,C,72,11,1437,250,538,.465,0,1,.000,250,537,.466,.465,198,271,.731,55,147,202,53,24,33,72,236,698
1992-93,37,LAL,NBA,C,52,0,617,122,270,.452,0,0,0,122,270,.452,.452,84,118,.712,30,70,100,41,10,7,51,122,328
1993-94,38,LAL,NBA,C,45,2,469,78,168,.464,0,0,0,78,168,.464,.464,54,79,.684,11,54,65,22,4,3,30,90,210
