Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,21,GSW,NBA,SG,80,75,2629,464,1090,.426,82,246,.333,382,844,.453,.463,141,210,.671,124,216,340,236,106,31,160,195,1151
2002-03,22,GSW,NBA,SG,82,82,2698,476,1161,.410,123,334,.368,353,827,.427,.463,207,271,.764,111,267,378,247,90,23,179,201,1282
2003-04,23,GSW,NBA,SG,78,78,2936,563,1284,.438,77,273,.282,486,1011,.481,.468,258,377,.684,124,400,524,226,86,41,196,182,1461
2004-05,24,GSW,NBA,SG,72,72,2724,610,1368,.446,125,370,.338,485,998,.486,.492,214,309,.693,125,299,424,281,105,32,169,156,1559
2005-06,25,GSW,NBA,SG,75,75,2877,641,1438,.446,183,477,.384,458,961,.477,.509,276,410,.673,105,333,438,232,97,37,167,206,1741
2006-07,26,GSW,NBA,SG,51,49,1675,306,734,.417,110,301,.365,196,433,.453,.492,92,140,.657,71,188,259,172,54,32,82,129,814
2007-08,27,CHA,NBA,SF,82,82,3149,648,1468,.441,243,599,.406,405,869,.466,.524,249,331,.752,80,361,441,258,116,57,166,241,1788
2008-09,28,TOT,NBA,SG,72,71,2410,465,974,.477,129,325,.397,336,649,.518,.544,153,199,.769,77,242,319,146,76,28,95,146,1212
2009-10,29,PHO,NBA,SG,79,76,2485,473,998,.474,157,400,.393,316,598,.528,.553,136,184,.739,81,323,404,143,66,33,92,169,1239
2010-11,30,TOT,NBA,SG,80,80,2715,472,1056,.447,189,479,.395,283,577,.490,.536,116,159,.730,67,264,331,147,93,13,95,162,1249
