Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,20,GSW,NBA,PF,82,82,2821,469,1024,.458,10,28,.357,459,996,.461,.463,303,392,.773,300,417,717,79,85,134,138,224,1251
1996-97,21,GSW,NBA,PF,80,80,3086,587,1293,.454,12,46,.261,575,1247,.461,.459,307,377,.814,261,418,679,125,74,86,192,244,1493
1997-98,22,TOT,NBA,PF,79,55,2344,464,1070,.434,0,8,.000,464,1062,.437,.434,227,293,.775,199,272,471,94,62,51,158,263,1155
1999-00,24,MIN,NBA,C,78,9,1975,289,623,.464,1,1,1.000,288,622,.463,.465,195,258,.756,186,298,484,88,45,85,119,302,774
2000-01,25,DET,NBA,PF,69,59,1941,308,765,.403,0,5,.000,308,760,.405,.403,231,287,.805,160,331,491,79,47,50,88,258,847
2001-02,26,MIN,NBA,C,72,63,1922,297,581,.511,2,3,.667,295,578,.510,.513,171,206,.830,152,301,453,82,39,59,86,250,767
2002-03,27,MIN,NBA,SF,54,21,1117,151,328,.460,0,2,.000,151,326,.463,.460,102,131,.779,111,159,270,38,14,55,43,171,404
2003-04,28,MIL,NBA,PF,76,76,2254,311,708,.439,1,5,.200,310,703,.441,.440,207,241,.859,230,413,643,78,47,94,82,209,830
2004-05,29,MIL,NBA,PF,74,73,2265,319,621,.514,0,1,.000,319,620,.515,.514,175,228,.768,179,362,541,67,43,38,79,222,813
2005-06,30,MIL,NBA,PF,44,5,887,145,305,.475,0,2,.000,145,303,.479,.475,89,115,.774,83,147,230,31,24,13,40,120,379
2006-07,31,TOT,NBA,PF,65,11,1503,214,477,.449,0,5,.000,214,472,.453,.449,125,148,.845,120,280,400,49,37,27,76,148,553
2007-08,32,TOT,NBA,PF,77,36,1726,312,653,.478,0,3,.000,312,650,.480,.478,154,204,.755,163,238,401,66,34,47,71,186,778
2008-09,33,TOT,NBA,C,57,3,1102,156,333,.468,3,7,.429,153,326,.469,.473,59,82,.720,89,174,263,41,17,40,25,122,374
2009-10,34,ATL,NBA,PF,64,1,592,77,193,.399,1,7,.143,76,186,.409,.402,39,48,.813,66,91,157,21,6,19,22,95,194
