Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,23,SAS,NBA,PG,49,0,458,61,137,.445,4,22,.182,57,115,.496,.460,16,26,.615,4,29,33,149,10,2,32,47,142
1984-85,24,SAS,NBA,PG,78,1,1259,196,385,.509,10,34,.294,186,351,.530,.522,84,100,.840,19,49,68,215,45,3,81,117,486
1985-86,25,CHI,NBA,PG,75,3,1570,153,328,.466,15,50,.300,138,278,.496,.489,74,92,.804,18,76,94,274,55,2,63,172,395
1986-87,26,CHI,NBA,PG,82,64,2689,386,793,.487,52,140,.371,334,653,.511,.520,106,131,.809,22,117,139,467,66,8,105,207,930
1987-88,27,CHI,NBA,PG,81,30,1888,287,582,.493,33,95,.347,254,487,.522,.521,33,45,.733,16,88,104,303,49,1,64,154,640
1988-89,28,CHI,NBA,PG,78,20,1738,246,513,.480,44,133,.331,202,380,.532,.522,31,36,.861,13,81,94,308,53,6,71,162,567
1989-90,29,CHI,NBA,PG,82,82,2365,365,708,.516,33,92,.359,332,616,.539,.539,56,68,.824,27,92,119,335,83,6,85,176,819
1990-91,30,CHI,NBA,PG,82,82,1971,317,578,.548,42,96,.438,275,482,.571,.585,34,41,.829,15,76,91,297,62,3,69,136,710
1991-92,31,CHI,NBA,PG,79,79,1946,257,487,.528,12,44,.273,245,443,.553,.540,29,37,.784,21,75,96,241,49,9,44,142,555
1992-93,32,CHI,NBA,PG,59,8,1030,105,233,.451,19,41,.463,86,192,.448,.491,17,20,.850,9,39,48,136,38,2,31,99,246
