Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,32,LAL,NBA,C,82,0,3143,835,1383,.604,0,1,.000,835,1382,.604,.604,364,476,.765,190,696,886,371,81,280,297,216,2034
1980-81,33,LAL,NBA,C,80,0,2976,836,1457,.574,0,1,.000,836,1456,.574,.574,423,552,.766,197,624,821,272,59,228,249,244,2095
1981-82,34,LAL,NBA,C,76,76,2677,753,1301,.579,0,3,.000,753,1298,.580,.579,312,442,.706,172,487,659,225,63,207,230,224,1818
1982-83,35,LAL,NBA,C,79,79,2554,722,1228,.588,0,2,.000,722,1226,.589,.588,278,371,.749,167,425,592,200,61,170,200,220,1722
1983-84,36,LAL,NBA,C,80,80,2622,716,1238,.578,0,1,.000,716,1237,.579,.578,285,394,.723,169,418,587,211,55,143,221,211,1717
1984-85,37,LAL,NBA,C,79,79,2630,723,1207,.599,0,1,.000,723,1206,.600,.599,289,395,.732,162,460,622,249,63,162,197,238,1735
1985-86,38,LAL,NBA,C,79,79,2629,755,1338,.564,0,2,.000,755,1336,.565,.564,336,439,.765,133,345,478,280,67,130,203,248,1846
1986-87,39,LAL,NBA,C,78,78,2441,560,993,.564,1,3,.333,559,990,.565,.564,245,343,.714,152,371,523,203,49,97,186,245,1366
1987-88,40,LAL,NBA,C,80,80,2308,480,903,.532,0,1,.000,480,902,.532,.532,205,269,.762,118,360,478,135,48,92,159,216,1165
1988-89,41,LAL,NBA,C,74,74,1695,313,659,.475,0,3,.000,313,656,.477,.475,122,165,.739,103,231,334,74,38,85,95,196,748
