Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,SAC,NBA,PG,61,60,2170,331,694,.477,12,39,.308,319,655,.487,.486,167,204,.819,40,98,138,434,92,8,184,140,841
1988-89,23,SAC,NBA,PG,81,81,3145,547,1183,.462,46,128,.359,501,1055,.475,.482,263,357,.737,49,177,226,621,102,7,249,173,1403
1989-90,24,TOT,NBA,PG,79,51,2421,378,811,.466,26,83,.313,352,728,.484,.482,161,196,.821,18,139,157,445,79,8,169,143,943
1990-91,25,HOU,NBA,PG,78,78,2699,522,1003,.520,49,135,.363,473,868,.545,.545,287,340,.844,36,127,163,554,106,11,237,131,1380
1991-92,26,HOU,NBA,PG,81,80,2735,432,910,.475,54,137,.394,378,773,.489,.504,219,253,.866,34,143,177,562,104,7,227,112,1137
1992-93,27,HOU,NBA,PG,82,82,2422,387,744,.520,96,219,.438,291,525,.554,.585,195,222,.878,28,132,160,446,80,7,163,110,1065
1993-94,28,HOU,NBA,PG,78,78,2209,341,711,.480,89,220,.405,252,491,.513,.542,135,155,.871,24,114,138,327,59,4,126,121,906
1994-95,29,HOU,NBA,PG,81,81,2030,287,593,.484,142,331,.429,145,262,.553,.604,126,148,.851,27,128,155,323,71,10,123,109,842
1995-96,30,HOU,NBA,PG,68,56,1617,201,464,.433,91,238,.382,110,226,.487,.531,87,106,.821,21,75,96,245,47,3,100,116,580
1996-97,31,TOT,NBA,PG,48,3,765,101,239,.423,59,135,.437,42,104,.404,.546,39,45,.867,4,40,44,116,19,0,71,30,300
