Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,21,TOT,NBA,SG,82,37,2324,459,1147,.400,29,125,.232,430,1022,.421,.413,279,377,.740,113,236,349,205,115,28,195,191,1226
2000-01,22,GSW,NBA,SG,50,45,1846,308,805,.383,14,75,.187,294,730,.403,.391,193,252,.766,76,200,276,223,96,29,152,147,823
2001-02,23,GSW,NBA,SG,73,56,2049,343,810,.423,18,93,.194,325,717,.453,.435,191,259,.737,83,162,245,316,113,23,171,150,895
2002-03,24,WAS,NBA,PG,67,56,2137,346,741,.467,29,79,.367,317,662,.479,.487,136,186,.731,67,241,308,205,86,24,136,149,857
2003-04,25,WAS,NBA,SG,61,61,2061,401,1009,.397,79,232,.341,322,777,.414,.437,267,335,.797,96,230,326,148,95,26,152,147,1148
2004-05,26,WAS,NBA,SG,61,61,2358,467,1086,.430,59,209,.282,408,877,.465,.457,352,453,.777,74,308,382,285,176,18,153,168,1345
2006-07,28,CLE,NBA,SG,70,68,2596,381,953,.400,74,222,.333,307,731,.420,.439,209,309,.676,41,226,267,256,89,26,154,164,1045
2007-08,29,TOT,NBA,PG-SG,68,57,2020,305,801,.381,67,194,.345,238,607,.392,.423,150,188,.798,39,191,230,181,99,17,116,139,827
2008-09,30,TOT,NBA,SF-SG,55,20,1479,224,557,.402,75,193,.389,149,364,.409,.469,117,145,.807,16,143,159,119,72,14,71,96,640
2009-10,31,TOT,NBA,SG,45,16,1115,137,386,.355,43,139,.309,94,247,.381,.411,94,113,.832,23,119,142,137,52,15,75,70,411
