Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,21,VAN,NBA,PG,82,82,3155,459,1031,.445,77,212,.363,382,819,.466,.483,195,250,.780,73,233,306,665,132,15,247,171,1190
2000-01,22,VAN,NBA,PG,82,82,3190,525,1157,.454,108,285,.379,417,872,.478,.500,143,188,.761,47,257,304,685,107,12,248,148,1301
2001-02,23,SAC,NBA,PG,80,80,2659,446,985,.453,51,138,.370,395,847,.466,.479,155,193,.803,37,185,222,403,87,15,134,133,1098
2002-03,24,SAC,NBA,PG,55,55,1835,329,700,.470,56,137,.409,273,563,.485,.510,161,187,.861,34,113,147,285,72,8,127,93,875
2003-04,25,SAC,NBA,PG,82,82,2980,527,1170,.450,148,378,.392,379,792,.479,.514,304,373,.815,67,210,277,444,112,18,175,146,1506
2004-05,26,SAC,NBA,PG,80,80,3084,560,1264,.443,131,364,.360,429,900,.477,.495,320,413,.775,77,255,332,541,124,30,203,191,1571
2005-06,27,SAC,NBA,PG,82,82,3167,597,1382,.432,192,497,.386,405,885,.458,.501,342,403,.849,29,211,240,444,82,10,199,169,1728
2006-07,28,SAC,NBA,PG,82,82,2784,471,1166,.404,173,481,.360,298,685,.435,.478,288,347,.830,39,224,263,388,88,6,197,139,1403
2007-08,29,TOT,NBA,PG,48,44,1573,248,603,.411,93,248,.375,155,355,.437,.488,78,100,.780,16,144,160,290,54,4,119,97,667
2008-09,30,ATL,NBA,PG,79,79,2740,437,1005,.435,167,428,.390,270,577,.468,.518,135,171,.789,38,240,278,392,98,11,128,145,1176
2009-10,31,ATL,NBA,PG,80,80,2195,268,644,.416,126,324,.389,142,320,.444,.514,68,79,.861,20,164,184,310,67,3,90,157,730
2010-11,32,TOT,NBA,PG,80,68,2285,248,576,.431,153,348,.440,95,228,.417,.563,39,62,.629,17,178,195,265,50,9,101,175,688
