Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,22,NYK,NBA,SG,81,0,949,165,373,.442,1,5,.200,164,368,.446,.444,49,64,.766,33,64,97,75,36,12,54,95,380
1981-82,23,TOT,NBA,SG,83,74,2331,538,1069,.503,7,25,.280,531,1044,.509,.507,221,286,.773,102,145,247,222,142,35,153,220,1304
1982-83,24,KCK,NBA,SG,81,3,2426,584,1154,.506,7,33,.212,577,1121,.515,.509,298,377,.790,84,164,248,254,137,59,174,203,1473
1983-84,25,KCK,NBA,SG,71,12,1838,389,816,.477,2,8,.250,387,808,.479,.478,247,302,.818,62,113,175,175,83,28,115,174,1027
1984-85,26,KCK,NBA,SG,78,3,1998,530,1068,.496,5,21,.238,525,1047,.501,.499,264,330,.800,69,129,198,143,117,28,139,216,1329
1985-86,27,SAC,NBA,SG,81,51,2417,510,1073,.475,2,13,.154,508,1060,.479,.476,242,289,.837,94,132,226,197,92,37,145,215,1264
1986-87,28,LAC,NBA,SG,74,66,2126,494,1130,.437,34,123,.276,460,1007,.457,.452,240,290,.828,68,94,162,196,100,16,168,201,1262
1987-88,29,LAC,NBA,SG,80,77,2534,562,1263,.445,18,78,.231,544,1185,.459,.452,296,341,.868,64,126,190,273,109,26,186,210,1438
1988-89,30,HOU,NBA,SG,81,79,2259,410,936,.438,31,89,.348,379,847,.447,.455,195,237,.823,51,143,194,206,89,18,136,195,1046
1989-90,31,HOU,NBA,SG,61,11,972,160,405,.395,12,41,.293,148,364,.407,.410,62,86,.721,25,63,88,66,42,11,49,100,394
