Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,21,NJN,NBA,SF,79,9,1917,270,591,.457,13,56,.232,257,535,.480,.468,189,265,.713,85,208,293,140,64,48,107,211,742
2002-03,22,NJN,NBA,SF,80,80,2879,456,911,.501,6,24,.250,450,887,.507,.504,324,436,.743,150,364,514,201,80,44,156,216,1242
2003-04,23,NJN,NBA,SF,82,82,3133,555,1115,.498,48,132,.364,507,983,.516,.519,357,468,.763,109,355,464,315,92,28,198,224,1515
2005-06,25,NJN,NBA,SF,78,78,3059,495,1005,.493,60,188,.319,435,817,.532,.522,471,580,.812,95,439,534,297,59,17,174,193,1521
2006-07,26,NJN,NBA,SF,55,53,1956,303,665,.456,52,145,.359,251,520,.483,.495,239,326,.733,48,192,240,148,34,8,120,123,897
2007-08,27,NJN,NBA,SF,82,82,3200,619,1328,.466,77,213,.362,542,1115,.486,.495,542,679,.798,93,249,342,252,76,21,199,225,1857
2008-09,28,MIL,NBA,SF,82,82,2939,537,1222,.439,116,292,.397,421,930,.453,.487,417,518,.805,57,317,374,199,66,14,165,252,1607
2009-10,29,SAS,NBA,SF,81,70,2520,362,775,.467,59,187,.316,303,588,.515,.505,211,287,.735,58,298,356,158,45,40,105,178,994
2010-11,30,SAS,NBA,SF,81,81,2459,304,642,.474,135,307,.440,169,335,.504,.579,148,195,.759,54,256,310,107,38,34,93,164,891
2012-13,32,GSW,NBA,SF,56,1,568,62,136,.456,14,45,.311,48,91,.527,.507,38,53,.717,5,79,84,31,14,7,23,45,176
2013-14,33,UTA,NBA,SF,82,78,2213,294,654,.450,123,301,.409,171,353,.484,.544,120,162,.741,18,201,219,130,56,14,94,168,831
2014-15,34,DAL,NBA,SF,74,18,1244,144,324,.444,66,155,.426,78,169,.462,.546,78,114,.684,25,158,183,61,32,11,52,115,432
