Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,21,PHI,NBA,C,49,45,1385,201,491,.409,0,3,.000,201,488,.412,.409,102,168,.607,98,208,306,98,45,147,148,170,504
1994-95,22,PHI,NBA,C,82,59,2365,315,693,.455,0,3,.000,315,690,.457,.455,148,232,.638,243,416,659,53,54,274,142,338,778
1995-96,23,TOT,NBA,C,79,68,2329,387,873,.443,1,4,.250,386,869,.444,.444,169,246,.687,221,417,638,63,49,288,179,286,944
1996-97,24,TOT,NBA,C,73,70,2288,406,905,.449,0,8,.000,406,897,.453,.449,149,228,.654,221,390,611,52,40,248,134,237,961
1997-98,25,DAL,NBA,C,64,46,1822,300,711,.422,1,3,.333,299,708,.422,.423,130,180,.722,164,354,518,60,51,214,96,214,731
1999-00,27,DAL,NBA,C,77,54,1901,266,555,.479,1,5,.200,265,550,.482,.480,114,149,.765,160,337,497,60,71,190,74,260,647
2000-01,28,DAL,NBA,C,82,35,2001,219,447,.490,1,6,.167,218,441,.494,.491,140,178,.787,160,448,608,38,36,228,88,256,579
2001-02,29,DAL,NBA,C,53,16,757,78,163,.479,0,1,.000,78,162,.481,.479,59,64,.922,53,123,176,20,28,64,25,128,215
2002-03,30,DAL,NBA,C,81,39,1731,201,375,.536,0,1,.000,201,374,.537,.536,141,175,.806,151,325,476,54,65,170,67,242,543
2003-04,31,DAL,NBA,C,66,5,773,89,188,.473,0,1,.000,89,187,.476,.473,41,49,.837,72,101,173,20,33,74,17,130,219
2004-05,32,DAL,NBA,C,77,14,885,84,186,.452,0,0,0,84,186,.452,.452,43,63,.683,70,144,214,15,25,63,33,153,211
