Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22,ATL,NBA,PG,79,8,1229,199,412,.483,2,11,.182,197,401,.491,.485,216,275,.785,27,96,123,337,82,5,159,164,616
1987-88,24,ATL,NBA,PG,82,1,1347,191,402,.475,1,19,.053,190,383,.496,.476,107,131,.817,16,130,146,337,63,12,131,125,490
1988-89,25,ATL,NBA,PG,81,6,1219,133,290,.459,1,22,.045,132,268,.493,.460,52,60,.867,21,102,123,284,70,6,83,104,319
1989-90,26,ATL,NBA,PG,82,46,2184,294,616,.477,1,19,.053,293,597,.491,.478,162,186,.871,38,163,201,477,105,12,141,185,751
1990-91,27,ATL,NBA,PG,75,64,2197,359,803,.447,54,168,.321,305,635,.480,.481,231,266,.868,41,133,174,417,118,6,146,180,1003
1991-92,28,SAC,NBA,PG,77,77,2724,448,1006,.445,73,199,.367,375,807,.465,.482,262,305,.859,30,193,223,547,125,24,229,193,1231
1992-93,29,SAC,NBA,PG,69,68,2335,342,789,.433,37,135,.274,305,654,.466,.457,279,328,.851,44,149,193,481,104,6,194,177,1000
1993-94,30,SAC,NBA,PG,79,62,2567,373,810,.460,55,164,.335,318,646,.492,.494,204,251,.813,44,178,222,528,93,23,168,182,1005
1994-95,31,SAC,NBA,PG,76,76,2458,302,689,.438,48,145,.331,254,544,.467,.473,226,242,.934,29,145,174,468,75,8,185,148,878
1995-96,32,TOT,NBA,PG,77,21,1462,186,430,.433,47,129,.364,139,301,.462,.487,125,145,.862,26,74,100,294,52,7,110,109,544
