Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,24,CLE,NBA,PG,78,5,1664,192,432,.444,73,144,.507,119,288,.413,.529,63,73,.863,12,86,98,248,45,7,74,59,520
1990-91,25,CLE,NBA,PG,57,4,905,99,223,.444,28,62,.452,71,161,.441,.507,45,53,.849,5,32,37,131,29,4,40,52,271
1991-92,26,CLE,NBA,PG,48,20,847,121,237,.511,32,74,.432,89,163,.546,.578,45,54,.833,14,64,78,110,27,10,31,29,319
1992-93,27,TOT,NBA,SG-PG,52,0,481,53,122,.434,6,26,.231,47,96,.490,.459,22,24,.917,5,40,45,70,10,1,27,36,134
1993-94,28,CHI,NBA,PG,82,0,2036,287,577,.497,52,124,.419,235,453,.519,.542,83,97,.856,26,105,131,210,75,3,57,97,709
1994-95,29,CHI,NBA,PG,82,0,1839,261,495,.527,89,170,.524,172,325,.529,.617,63,81,.778,20,99,119,151,44,3,48,114,674
1995-96,30,CHI,NBA,PG,82,0,1919,244,482,.506,122,237,.515,122,245,.498,.633,78,84,.929,25,85,110,192,63,2,42,109,688
1996-97,31,CHI,NBA,PG,82,0,1861,249,467,.533,110,237,.464,139,230,.604,.651,54,67,.806,29,101,130,175,67,3,43,98,662
1997-98,32,CHI,NBA,PG,50,0,1119,137,302,.454,57,130,.438,80,172,.465,.548,45,49,.918,14,63,77,96,26,5,27,71,376
2000-01,35,SAS,NBA,PG,55,1,650,67,159,.421,33,77,.429,34,82,.415,.525,14,15,.933,6,29,35,57,16,1,21,30,181
2001-02,36,POR,NBA,PG,65,0,775,102,217,.470,26,66,.394,76,151,.503,.530,39,40,.975,6,54,60,63,13,1,24,49,269
2002-03,37,SAS,NBA,PG,75,0,952,110,256,.430,49,124,.395,61,132,.462,.525,30,34,.882,12,48,60,70,27,3,35,49,299
