Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,24,TOT,NBA,SF,63,15,1170,156,381,.409,1,4,.250,155,377,.411,.411,91,124,.734,88,127,215,97,55,5,66,129,404
1987-88,25,TOT,NBA,SF,84,5,1739,257,525,.490,1,6,.167,256,519,.493,.490,110,138,.797,127,223,350,115,72,18,104,181,625
1988-89,26,PHO,NBA,SF,77,30,1655,245,454,.540,0,2,.000,245,452,.542,.540,141,179,.788,176,222,398,118,82,13,92,222,631
1989-90,27,MIN,NBA,SF,82,80,3011,521,1083,.481,0,11,.000,521,1072,.486,.481,161,209,.770,219,385,604,216,175,41,143,288,1203
1990-91,28,MIN,NBA,SF,82,82,3196,587,1311,.448,2,10,.200,585,1301,.450,.449,296,371,.798,185,404,589,347,162,53,209,257,1472
1991-92,29,TOT,NBA,SF,80,9,2207,303,630,.481,0,4,.000,303,626,.484,.481,174,201,.866,163,309,472,140,82,20,97,193,780
1992-93,30,UTA,NBA,SF,82,58,2555,385,766,.503,0,5,.000,385,761,.506,.503,180,218,.826,194,325,519,173,108,32,108,252,950
1993-94,31,UTA,NBA,SF,82,17,2149,268,588,.456,6,29,.207,262,559,.469,.461,117,144,.813,150,239,389,122,99,24,92,212,659
1994-95,32,ATL,NBA,SF,81,4,1389,205,464,.442,14,56,.250,191,408,.468,.457,78,114,.684,98,164,262,67,55,16,74,161,502
1995-96,33,TOT,NBA,SF,71,2,1284,155,351,.442,3,18,.167,152,333,.456,.446,100,120,.833,81,163,244,84,63,20,67,147,413
1996-97,34,ATL,NBA,SF,70,65,2305,253,600,.422,74,208,.356,179,392,.457,.483,86,108,.796,76,218,294,124,90,7,85,176,666
1997-98,35,ATL,NBA,SF,79,79,2699,328,747,.439,49,141,.348,279,606,.460,.472,101,128,.789,78,284,362,173,105,7,86,197,806
1999-00,37,SAC,NBA,SF,54,5,941,88,247,.356,10,44,.227,78,203,.384,.377,33,39,.846,40,125,165,60,36,5,29,99,219
