Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,23,UTA,NBA,SF,68,0,2674,730,1267,.576,0,2,.000,730,1265,.577,.576,443,526,.842,183,333,516,191,96,14,233,211,1903
1980-81,24,UTA,NBA,SF,80,0,3417,909,1627,.559,2,7,.286,907,1620,.560,.559,632,784,.806,192,317,509,322,109,18,282,245,2452
1981-82,25,UTA,NBA,SF,81,81,3222,904,1586,.570,1,3,.333,903,1583,.570,.570,648,818,.792,231,283,514,324,95,14,299,252,2457
1983-84,27,UTA,NBA,SF,79,79,2984,802,1438,.558,1,4,.250,801,1434,.559,.558,813,946,.859,179,269,448,310,61,4,263,201,2418
1984-85,28,UTA,NBA,SF,55,46,1971,512,964,.531,0,0,0,512,964,.531,.531,438,545,.804,148,175,323,186,57,8,171,133,1462
1985-86,29,UTA,NBA,SF,76,75,2744,818,1453,.563,1,11,.091,817,1442,.567,.563,630,796,.791,178,217,395,264,64,4,231,206,2267
1986-87,30,DET,NBA,SF,81,81,2736,601,1126,.534,1,6,.167,600,1120,.536,.534,539,664,.812,104,228,332,162,63,7,181,193,1742
1987-88,31,DET,NBA,SF,69,50,2144,444,863,.514,0,2,.000,444,861,.516,.514,492,572,.860,84,143,227,171,39,10,135,144,1380
1988-89,32,TOT,NBA,SF,73,67,2422,470,954,.493,0,1,.000,470,953,.493,.493,460,568,.810,117,200,317,171,43,13,163,186,1400
1989-90,33,DAL,NBA,SF,45,45,1300,231,484,.477,0,2,.000,231,482,.479,.477,200,254,.787,78,94,172,80,20,7,75,99,662
