Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,22,IND,NBA,PF,64,23,1301,154,279,.552,0,1,.000,154,278,.554,.552,87,152,.572,158,252,410,30,27,74,49,191,395
1992-93,23,IND,NBA,PF,82,82,2264,304,535,.568,0,0,0,304,535,.568,.568,119,225,.529,291,432,723,69,63,148,79,274,727
1993-94,24,IND,NBA,PF,66,64,2292,308,582,.529,0,1,.000,308,581,.530,.529,155,294,.527,280,438,718,100,48,106,102,214,771
1994-95,25,IND,NBA,PF,74,70,2346,324,576,.563,0,1,.000,324,575,.563,.563,138,259,.533,259,437,696,58,72,116,124,222,786
1995-96,26,IND,NBA,PF,78,77,2617,334,599,.558,0,0,0,334,599,.558,.558,135,289,.467,252,457,709,76,56,112,119,238,803
1996-97,27,IND,NBA,PF,80,76,2589,370,688,.538,0,0,0,370,688,.538,.538,92,215,.428,301,471,772,59,60,77,108,233,832
1997-98,28,IND,NBA,C,78,78,2174,273,498,.548,0,0,0,273,498,.548,.548,80,172,.465,233,378,611,70,51,87,73,209,626
1999-00,30,IND,NBA,C,74,72,2127,302,602,.502,0,0,0,302,602,.502,.502,139,203,.685,256,473,729,64,52,94,91,203,743
2000-01,31,POR,NBA,C,81,43,2162,242,487,.497,0,4,.000,242,483,.501,.497,96,152,.632,233,373,606,103,44,76,67,199,580
2001-02,32,POR,NBA,C,78,77,2447,296,580,.510,0,0,0,296,580,.510,.510,150,212,.708,262,426,688,96,62,83,62,193,742
2002-03,33,POR,NBA,C,78,78,2282,237,438,.541,0,0,0,237,438,.541,.541,105,166,.633,233,331,564,94,51,70,71,189,579
2003-04,34,POR,NBA,C,76,37,1682,133,281,.473,0,0,0,133,281,.473,.473,65,106,.613,158,240,398,72,43,62,40,154,331
2004-05,35,TOT,NBA,C,61,28,1307,112,234,.479,0,0,0,112,234,.479,.479,60,99,.606,152,223,375,47,32,65,43,162,284
2006-07,37,DET,NBA,C,46,6,464,33,74,.446,0,0,0,33,74,.446,.446,17,26,.654,59,78,137,12,10,34,15,59,83
