Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,22,DEN,NBA,SF,51,0,1376,229,537,.426,0,7,.000,229,530,.432,.426,130,159,.818,86,184,270,94,29,24,86,116,588
1981-82,23,DEN,NBA,PF,82,78,2775,706,1260,.560,1,13,.077,705,1247,.565,.561,347,405,.857,149,312,461,247,52,29,189,217,1760
1982-83,24,DEN,NBA,PF,82,79,2909,841,1537,.547,15,51,.294,826,1486,.556,.552,489,559,.875,124,313,437,203,66,38,177,198,2186
1983-84,25,DEN,NBA,PF,78,71,2734,895,1603,.558,11,30,.367,884,1573,.562,.562,494,580,.852,84,289,373,238,53,50,156,187,2295
1984-85,26,POR,NBA,SF,72,69,2502,618,1158,.534,11,33,.333,607,1125,.540,.538,369,412,.896,74,154,228,106,37,22,116,116,1616
1985-86,27,POR,NBA,SF,79,76,2791,719,1332,.540,1,8,.125,718,1324,.542,.540,523,602,.869,92,124,216,187,54,17,177,161,1962
1986-87,28,POR,NBA,SF,79,79,3029,808,1545,.523,39,81,.481,769,1464,.525,.536,467,527,.886,86,165,251,220,52,17,139,137,2122
1988-89,30,TOT,NBA,PF,45,1,934,200,426,.469,19,48,.396,181,378,.479,.492,80,89,.899,26,45,71,69,19,11,41,78,499
1990-91,32,NYK,NBA,SF,75,72,2420,458,927,.494,51,141,.362,407,786,.518,.522,259,288,.899,78,102,180,110,42,10,108,122,1226
1991-92,33,NYK,NBA,SF,67,0,956,188,383,.491,26,66,.394,162,317,.511,.525,65,81,.802,31,57,88,57,15,8,27,87,467
