Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,22,CLE,NBA,PG,67,0,1217,173,424,.408,23,70,.329,150,354,.424,.435,95,114,.833,33,84,117,202,43,4,105,75,464
1987-88,23,CLE,NBA,PG,80,79,2626,493,974,.506,72,148,.486,421,826,.510,.543,221,252,.877,54,126,180,480,99,12,184,119,1279
1988-89,24,CLE,NBA,PG,75,74,2728,529,1006,.526,93,211,.441,436,795,.548,.572,263,292,.901,48,178,226,631,115,7,212,98,1414
1989-90,25,CLE,NBA,PG,73,73,2706,489,1066,.459,152,374,.406,337,692,.487,.530,300,338,.888,66,185,251,666,114,5,214,89,1430
1991-92,27,CLE,NBA,PG,72,72,2138,438,897,.488,101,261,.387,337,636,.530,.545,270,285,.947,38,135,173,535,94,12,159,113,1247
1992-93,28,CLE,NBA,PG,75,74,2380,477,986,.484,122,293,.416,355,693,.512,.546,289,305,.948,37,164,201,602,89,11,196,105,1365
1993-94,29,CLE,NBA,PG,76,73,2386,480,1005,.478,118,297,.397,362,708,.511,.536,238,268,.888,39,189,228,589,103,11,189,93,1316
1994-95,30,CLE,NBA,PG,48,34,1375,253,612,.413,103,253,.407,150,359,.418,.498,148,162,.914,25,87,112,335,35,4,142,50,757
1996-97,32,GSW,NBA,PG,70,49,1876,263,589,.447,112,283,.396,151,306,.493,.542,155,171,.906,36,143,179,342,67,3,161,100,793
1997-98,33,ORL,NBA,PG,63,33,1430,229,531,.431,52,155,.335,177,376,.471,.480,87,103,.845,24,105,129,297,53,5,162,92,597
